Date (UK),DAM price,IDM price
01/01/2024 00:00,50.0,40.84
01/01/2024 01:00,47.0,52.02
01/01/2024 02:00,33.0,61.54
01/01/2024 03:00,25.8,58.0
01/01/2024 04:00,20.6,44.02
01/01/2024 05:00,15.3,35.67
01/01/2024 06:00,25.0,48.52
01/01/2024 07:00,50.0,55.31
01/01/2024 08:00,66.8,41.44
01/01/2024 09:00,63.0,65.79
01/01/2024 10:00,78.2,77.02
01/01/2024 11:00,69.0,78.33
01/01/2024 12:00,78.7,79.14
01/01/2024 13:00,82.0,76.83
01/01/2024 14:00,83.4,80.33
01/01/2024 15:00,80.0,63.98
01/01/2024 16:00,104.4,67.88
01/01/2024 17:00,113.1,60.27
01/01/2024 18:00,94.3,56.91
01/01/2024 19:00,83.75,43.0
01/01/2024 20:00,75.5,29.79
01/01/2024 21:00,72.9,25.73
01/01/2024 22:00,44.2,15.05
01/01/2024 23:00,27.2,-16.95
02/01/2024 00:00,29.2,-14.01
02/01/2024 01:00,30.0,-9.28
02/01/2024 02:00,22.0,-13.47
02/01/2024 03:00,20.1,-6.1
02/01/2024 04:00,18.0,3.99
02/01/2024 05:00,31.0,21.57
02/01/2024 06:00,64.0,40.17
02/01/2024 07:00,62.9,51.67
02/01/2024 08:00,73.7,49.87
02/01/2024 09:00,79.8,55.88
02/01/2024 10:00,78.0,61.37
02/01/2024 11:00,81.9,70.94
02/01/2024 12:00,84.4,78.29
02/01/2024 13:00,83.4,75.97
02/01/2024 14:00,77.65,77.63
02/01/2024 15:00,72.5,70.01
02/01/2024 16:00,85.0,75.4
02/01/2024 17:00,94.0,70.21
02/01/2024 18:00,85.0,68.41
02/01/2024 19:00,73.1,76.57
02/01/2024 20:00,65.5,77.24
02/01/2024 21:00,55.5,61.64
02/01/2024 22:00,41.0,59.3
02/01/2024 23:00,35.7,76.97
03/01/2024 00:00,39.0,79.13
03/01/2024 01:00,37.4,81.53
03/01/2024 02:00,32.0,81.21
03/01/2024 03:00,31.6,82.39
03/01/2024 04:00,32.0,71.82
03/01/2024 05:00,42.0,68.9
03/01/2024 06:00,62.0,55.11
03/01/2024 07:00,71.0,54.29
03/01/2024 08:00,72.0,57.02
03/01/2024 09:00,77.4,80.54
03/01/2024 10:00,76.8,88.08
03/01/2024 11:00,74.4,96.65
03/01/2024 12:00,76.42,91.61
03/01/2024 13:00,76.8,85.81
03/01/2024 14:00,75.18,84.96
03/01/2024 15:00,73.0,86.29
03/01/2024 16:00,87.8,89.26
03/01/2024 17:00,96.0,86.34
03/01/2024 18:00,89.0,85.61
03/01/2024 19:00,80.0,80.01
03/01/2024 20:00,75.3,73.11
03/01/2024 21:00,72.6,72.1
03/01/2024 22:00,68.0,78.29
03/01/2024 23:00,67.0,64.61
04/01/2024 00:00,67.5,69.5
04/01/2024 01:00,65.0,61.06
04/01/2024 02:00,62.3,60.4
04/01/2024 03:00,62.0,54.03
04/01/2024 04:00,62.0,55.72
04/01/2024 05:00,67.2,61.09
04/01/2024 06:00,75.0,63.04
04/01/2024 07:00,77.0,60.49
04/01/2024 08:00,78.0,71.95
04/01/2024 09:00,80.4,75.28
04/01/2024 10:00,78.0,72.66
04/01/2024 11:00,79.9,72.67
04/01/2024 12:00,81.7,82.07
04/01/2024 13:00,85.0,87.8
04/01/2024 14:00,88.9,91.5
04/01/2024 15:00,92.0,101.58
04/01/2024 16:00,108.4,112.33
04/01/2024 17:00,113.11,105.79
04/01/2024 18:00,105.5,98.6
04/01/2024 19:00,93.6,85.94
04/01/2024 20:00,85.8,81.78
04/01/2024 21:00,79.05,76.9
04/01/2024 22:00,76.1,73.53
04/01/2024 23:00,76.7,78.42
