Date,EFA,Clearing Price
2024-01-01,1,1.49
2024-01-01,2,5.0
2024-01-01,3,2.31
2024-01-01,4,1.25
2024-01-01,5,2.21
2024-01-01,6,1.1
2024-01-02,1,1.4
2024-01-02,2,4.07
2024-01-02,3,1.23
2024-01-02,4,0.53
2024-01-02,5,1.2
2024-01-02,6,0.81
2024-01-03,1,0.81
2024-01-03,2,2.64
2024-01-03,3,0.72
2024-01-03,4,0.7
2024-01-03,5,1.04
2024-01-03,6,0.23
2024-01-04,1,1.22
2024-01-04,2,1.16
2024-01-04,3,0.86
2024-01-04,4,0.92
2024-01-04,5,1.25
2024-01-04,6,0.07
2024-01-05,1,0.79
2024-01-05,2,1.0
2024-01-05,3,0.36
2024-01-05,4,1.08
2024-01-05,5,1.13
2024-01-05,6,0.5
2024-01-06,1,0.7
2024-01-06,2,1.0
2024-01-06,3,0.59
2024-01-06,4,0.86
2024-01-06,5,1.03
2024-01-06,6,0.09
2024-01-07,1,0.95
2024-01-07,2,1.0
2024-01-07,3,1.1
2024-01-07,4,1.04
2024-01-07,5,1.48
2024-01-07,6,0.06
2024-01-08,1,1.11
2024-01-08,2,1.8000000000000005
2024-01-08,3,0.81
2024-01-08,4,1.17
2024-01-08,5,3.18
2024-01-08,6,0.89
2024-01-09,1,1.23
2024-01-09,2,1.38
2024-01-09,3,0.79
2024-01-09,4,0.84
2024-01-09,5,5.480000000000001
2024-01-09,6,0.9
2024-01-10,1,1.18
2024-01-10,2,1.39
2024-01-10,3,1.1
2024-01-10,4,0.82
2024-01-10,5,2.03
2024-01-10,6,0.92
2024-01-11,1,0.86
2024-01-11,2,1.49
2024-01-11,3,1.0
2024-01-11,4,0.98
2024-01-11,5,1.06
2024-01-11,6,0.66
2024-01-12,1,0.75
2024-01-12,2,1.16
2024-01-12,3,0.71
2024-01-12,4,0.71
2024-01-12,5,1.24
2024-01-12,6,0.67
2024-01-13,1,1.3
2024-01-13,2,1.43
2024-01-13,3,0.35
2024-01-13,4,0.74
2024-01-13,5,0.6
2024-01-13,6,0.48
2024-01-14,1,0.88
2024-01-14,2,1.11
2024-01-14,3,1.06
2024-01-14,4,0.93
2024-01-14,5,1.0
2024-01-14,6,0.84
2024-01-15,1,1.42
2024-01-15,2,3.73
2024-01-15,3,0.71
2024-01-15,4,0.82
2024-01-15,5,5.349999999999999
2024-01-15,6,0.49
2024-01-16,1,1.23
2024-01-16,2,1.08
2024-01-16,3,0.99
2024-01-16,4,0.7
2024-01-16,5,1.98
2024-01-16,6,0.85
2024-01-17,1,1.06
2024-01-17,2,1.04
2024-01-17,3,0.66
2024-01-17,4,0.64
2024-01-17,5,6.040000000000001
2024-01-17,6,0.6
2024-01-18,1,0.8
2024-01-18,2,1.0
2024-01-18,3,0.58
2024-01-18,4,0.94
2024-01-18,5,2.75
2024-01-18,6,0.6
2024-01-19,1,1.04
2024-01-19,2,1.22
2024-01-19,3,0.55
2024-01-19,4,0.62
2024-01-19,5,0.52
2024-01-19,6,0.56
2024-01-20,1,0.9
2024-01-20,2,1.3
2024-01-20,3,0.75
2024-01-20,4,1.02
2024-01-20,5,0.5
2024-01-20,6,0.88
2024-01-21,1,1.58
2024-01-21,2,2.12
2024-01-21,3,1.49
2024-01-21,4,1.5
2024-01-21,5,1.09
2024-01-21,6,1.17
2024-01-22,1,5.59
2024-01-22,2,6.39
2024-01-22,3,5.65
2024-01-22,4,1.69
2024-01-22,5,0.95
2024-01-22,6,1.33
2024-01-23,1,1.92
2024-01-23,2,2.31
2024-01-23,3,1.98
2024-01-23,4,1.45
2024-01-23,5,1.2
2024-01-23,6,1.0
2024-01-24,1,1.51
2024-01-24,2,3.21
2024-01-24,3,0.89
2024-01-24,4,0.96
2024-01-24,5,0.69
2024-01-24,6,0.8
2024-01-25,1,0.84
2024-01-25,2,0.99
2024-01-25,3,0.7
2024-01-25,4,0.95
2024-01-25,5,0.84
2024-01-25,6,0.82
2024-01-26,1,0.7
2024-01-26,2,2.85
2024-01-26,3,1.98
2024-01-26,4,1.22
2024-01-26,5,0.85
2024-01-26,6,1.11
2024-01-27,1,1.1
2024-01-27,2,1.49
2024-01-27,3,1.0
2024-01-27,4,0.97
2024-01-27,5,0.84
2024-01-27,6,0.92
2024-01-28,1,1.2
2024-01-28,2,1.24
2024-01-28,3,0.8900000000000001
2024-01-28,4,1.06
2024-01-28,5,1.04
2024-01-28,6,0.78
2024-01-29,1,1.05
2024-01-29,2,1.98
2024-01-29,3,1.01
2024-01-29,4,0.99
2024-01-29,5,1.0
2024-01-29,6,0.66
2024-01-30,1,0.83
2024-01-30,2,1.44
2024-01-30,3,0.8
2024-01-30,4,1.1100000000000003
2024-01-30,5,1.0
2024-01-30,6,0.5
2024-01-31,1,1.0
2024-01-31,2,1.12
2024-01-31,3,0.9
2024-01-31,4,0.9
2024-01-31,5,0.9
2024-01-31,6,1.01
2024-02-01,1,1.21
2024-02-01,2,1.5
2024-02-01,3,0.7
2024-02-01,4,0.85
2024-02-01,5,0.65
2024-02-01,6,0.7
2024-02-02,1,0.81
2024-02-02,2,1.36
2024-02-02,3,0.65
2024-02-02,4,1.0
2024-02-02,5,0.57
2024-02-02,6,0.7
2024-02-03,1,1.05
2024-02-03,2,2.8
2024-02-03,3,1.0
2024-02-03,4,1.49
2024-02-03,5,1.1
2024-02-03,6,0.7
2024-02-04,1,1.49
2024-02-04,2,2.88
2024-02-04,3,1.49
2024-02-04,4,0.87
2024-02-04,5,1.0
2024-02-04,6,0.89
2024-02-05,1,1.91
2024-02-05,2,3.76
2024-02-05,3,2.44
2024-02-05,4,1.0
2024-02-05,5,1.35
2024-02-05,6,1.49
2024-02-06,1,1.55
2024-02-06,2,3.66
2024-02-06,3,1.49
2024-02-06,4,0.87
2024-02-06,5,0.22
2024-02-06,6,1.08
2024-02-07,1,1.31
2024-02-07,2,1.89
2024-02-07,3,1.0
2024-02-07,4,0.78
2024-02-07,5,1.98
2024-02-07,6,0.4
2024-02-08,1,0.5
2024-02-08,2,1.24
2024-02-08,3,0.3
2024-02-08,4,0.75
2024-02-08,5,2.28
2024-02-08,6,1.5
2024-02-09,1,1.13
2024-02-09,2,3.11
2024-02-09,3,1.49
2024-02-09,4,1.49
2024-02-09,5,0.51
2024-02-09,6,0.68
2024-02-10,1,1.4
2024-02-10,2,2.41
2024-02-10,3,1.0
2024-02-10,4,1.05
2024-02-10,5,0.7
2024-02-10,6,0.6
2024-02-11,1,1.15
2024-02-11,2,1.69
2024-02-11,3,1.06
2024-02-11,4,0.7
2024-02-11,5,0.4
2024-02-11,6,0.8
2024-02-12,1,1.59
2024-02-12,2,2.1
2024-02-12,3,0.7
2024-02-12,4,1.0
2024-02-12,5,1.04
2024-02-12,6,0.5
2024-02-13,1,2.0
2024-02-13,2,1.98
2024-02-13,3,0.75
2024-02-13,4,1.25
2024-02-13,5,0.75
2024-02-13,6,0.5
2024-02-14,1,1.49
2024-02-14,2,1.5
2024-02-14,3,0.75
2024-02-14,4,1.15
2024-02-14,5,1.0
2024-02-14,6,0.5
2024-02-15,1,1.3
2024-02-15,2,1.49
2024-02-15,3,0.7
2024-02-15,4,1.18
2024-02-15,5,1.0
2024-02-15,6,0.5
2024-02-16,1,0.66
2024-02-16,2,1.3
2024-02-16,3,0.7
2024-02-16,4,0.9
2024-02-16,5,0.41
2024-02-16,6,0.5
2024-02-17,1,0.7
2024-02-17,2,0.78
2024-02-17,3,0.71
2024-02-17,4,0.98
2024-02-17,5,0.79
2024-02-17,6,1.0
2024-02-18,1,1.39
2024-02-18,2,2.0
2024-02-18,3,1.25
2024-02-18,4,1.18
2024-02-18,5,1.2
2024-02-18,6,0.67
2024-02-19,1,1.28
2024-02-19,2,1.99
2024-02-19,3,1.36
2024-02-19,4,1.99
2024-02-19,5,1.2
2024-02-19,6,1.44
2024-02-20,1,1.5
2024-02-20,2,1.29
2024-02-20,3,1.44
2024-02-20,4,1.99
2024-02-20,5,1.3
2024-02-20,6,1.19
2024-02-21,1,1.25
2024-02-21,2,3.25
2024-02-21,3,1.41
2024-02-21,4,1.31
2024-02-21,5,1.31
2024-02-21,6,1.38
2024-02-22,1,3.14
2024-02-22,2,2.38
