config_id,power_mw,energy_mwh,Duration,baseline_dam_weight,baseline_idm_weight,baseline_dc_weight,baseline_expected_return,baseline_portfolio_risk,updated_2024_idm_weight,updated_2024_dc_weight,updated_2024_expected_return,updated_2024_portfolio_risk,updated_2022_idm_weight,updated_2022_dc_weight,updated_2022_expected_return,updated_2022_portfolio_risk,updated_2021_idm_weight,updated_2021_dc_weight,updated_2021_expected_return,updated_2021_portfolio_risk
1,10,10,1,0,0.6,0.4,819.339,535.884,0.123,0.877,1040.974,623.556,0.14,0.86,1109.144,1062.505,0.152,0.848,1099.283,1633.533
2,30,30,1,0,0.6,0.4,2458.017,1607.649,0.123,0.877,3122.928,1870.659,0.14,0.86,3327.438,3187.515,0.152,0.848,3297.855,4900.597
3,50,50,1,0,0.6,0.4,4096.696,2679.416,0.123,0.877,5204.879,3117.771,0.14,0.86,5545.729,5312.526,0.152,0.848,5496.425,8167.664
4,100,100,1,0,0.6,0.4,8193.392,5358.832,0.123,0.877,10409.759,6235.541,0.14,0.86,11091.458,10625.051,0.152,0.848,10992.851,16335.327
5,10,15,1.5,0.01,0,0.99,1134.51,641.695,0.124,0.876,1048.616,623.104,0.86,0.14,1301.838,1453.985,0.849,0.151,1212.824,2237.063
6,50,75,1.5,0.01,0,0.99,5672.561,3208.47,0.124,0.876,5243.122,3115.535,0.86,0.14,6509.245,7269.984,0.849,0.151,6064.172,11185.418
7,100,150,1.5,0.01,0,0.99,11345.123,6416.94,0.124,0.876,10486.25,6231.08,0.86,0.14,13018.491,14539.971,0.849,0.151,12128.346,22370.841
8,10,20,2,0,0.133,0.867,1135.487,736.149,0.125,0.875,1078.498,635.98,0.859,0.141,1662.739,1858.523,0.85,0.15,1517.55,2859.369
9,30,60,2,0,0.133,0.867,3406.458,2208.447,0.125,0.875,3235.5,1907.929,0.859,0.141,4988.216,5575.566,0.85,0.15,4552.649,8578.103
10,50,100,2,0,0.133,0.867,5677.431,3680.745,0.125,0.875,5392.498,3179.888,0.859,0.141,8313.694,9292.611,0.85,0.15,7587.75,14296.843
11,100,200,2,0,0.133,0.867,11354.861,7361.49,0.125,0.875,10784.997,6359.775,0.859,0.141,16627.387,18585.221,0.85,0.15,15175.501,28593.687
12,200,400,2,0,0.133,0.867,22709.722,14722.979,0.125,0.875,21569.994,12719.55,0.859,0.141,33254.775,37170.442,0.85,0.15,30351.001,57187.374
13,300,600,2,0,0.133,0.867,34064.583,22084.469,0.125,0.875,32354.991,19079.325,0.859,0.141,49882.163,55755.663,0.85,0.15,45526.502,85781.061
14,400,800,2,0,0.133,0.867,45419.444,29445.959,0.125,0.875,43139.988,25439.1,0.859,0.141,66509.55,74340.885,0.85,0.15,60702.002,114374.747
15,5,15,3,0.766,0.234,0,709.768,476.169,0.126,0.874,130.29,87.241,0.861,0.139,264.746,297.739,0.853,0.147,229.629,439.747
16,10,30,3,0.766,0.234,0,1419.536,952.339,0.126,0.874,260.586,174.484,0.861,0.139,529.501,595.487,0.853,0.147,459.269,879.516
17,15,60,4,0.9,0.1,0,2574.657,1734.157,0.872,0.128,171.07,141.071,0.863,0.137,409.934,450.159,0.855,0.145,343.593,667.597
