config_id,power_mw,energy_mwh,scenario,dc_price_addition_percent,dam_weight,idm_weight,dc_weight,expected_return,portfolio_risk
1,10,10,base_case,0.0,0.20399850802182634,7.840950111415168e-16,0.7960014919781728,726.2683851783984,389.26275969507776
1,10,10,down_80%,-80.0,0.21856965248549365,0.7814303475145181,0.0,467.02504548860196,380.49459823547187
1,10,10,down_75%,-75.0,0.2157474307902188,0.7842525692097873,0.0,467.09776157277764,380.5168613326867
1,10,10,down_70%,-70.0,0.21189179059319796,0.7881082094067923,9.745676488037702e-15,467.1971042493582,380.55348846610593
1,10,10,down_65%,-65.0,0.2063657186668665,0.7936342813331347,0.0,467.3394865122539,380.6167160493987
1,10,10,down_60%,-60.0,0.1977676883984291,0.802232311601568,2.8015784137025435e-15,467.5610194604969,380.7407214962753
1,10,10,down_55%,-55.0,0.1826732340889885,0.8173267659110117,0.0,467.94993632411575,381.0289309697809
1,10,10,down_50%,-50.0,0.15015671402356182,0.8498432859764319,6.306411259371404e-15,468.7877422321912,381.9238528762571
1,10,10,down_45%,-45.0,0.0522865410174322,0.9477134589825753,0.0,471.30942072066364,386.2412694797356
1,10,10,down_40%,-40.0,0.08473972497319356,0.5304478496708951,0.38481242535591137,472.8125908282061,385.7136092204142
1,10,10,down_35%,-35.0,0.18785989369997008,0.0,0.8121401063000299,505.14097149256526,390.22085247533045
1,10,10,down_30%,-30.0,0.19365793417068933,4.837710093630321e-16,0.8063420658293102,536.8836208915862,389.87837961491886
1,10,10,down_25%,-25.0,0.19733795857361,0.0,0.8026620414263901,568.4984658827032,389.6608156019189
1,10,10,down_20%,-20.0,0.1996797892948897,3.7903707950093235e-16,0.8003202107051098,600.0784109709898,389.5204560819636
1,10,10,down_15%,-15.0,0.20131386376466953,3.896622607912903e-16,0.79868613623533,631.6347411278787,389.428422547703
1,10,10,down_10%,-10.0,0.20246689521677153,0.0,0.797533104783229,663.1586623608885,389.35867134954555
1,10,10,down_5%,-5.0,0.2033395040293437,0.0,0.7966604959706567,694.7129258916095,389.3061194683271
1,10,10,up_5%,5.0,0.20452945538176623,0.0,0.795470544618234,757.8208755114373,389.2278072905487
1,10,10,up_10%,10.0,0.20495361509824778,2.7668839441830073e-16,0.7950463849017518,789.3791705070744,389.19802873529915
