Auction ID,Product,Delivery Start,Delivery End,Clearing Price
906,DCL,2024-12-31T23:00:00,2025-01-01T03:00:00,2.5
906,DCH,2024-12-31T23:00:00,2025-01-01T03:00:00,3
906,DCH,2025-01-01T03:00:00,2025-01-01T07:00:00,4.5
906,DCH,2025-01-01T07:00:00,2025-01-01T11:00:00,2.5
906,DCH,2025-01-01T11:00:00,2025-01-01T15:00:00,4.6
906,DCH,2025-01-01T15:00:00,2025-01-01T19:00:00,1.75
906,DCH,2025-01-01T19:00:00,2025-01-01T23:00:00,2
906,DCL,2025-01-01T03:00:00,2025-01-01T07:00:00,3.96
906,DCL,2025-01-01T07:00:00,2025-01-01T11:00:00,2.25
906,DCL,2025-01-01T11:00:00,2025-01-01T15:00:00,2.14
906,DCL,2025-01-01T15:00:00,2025-01-01T19:00:00,6.25
906,DCL,2025-01-01T19:00:00,2025-01-01T23:00:00,3.34
908,DCH,2025-01-01T23:00:00,2025-01-02T03:00:00,4
908,DCH,2025-01-02T03:00:00,2025-01-02T07:00:00,5.5
908,DCH,2025-01-02T07:00:00,2025-01-02T11:00:00,3.48
908,DCH,2025-01-02T11:00:00,2025-01-02T15:00:00,2
908,DCH,2025-01-02T15:00:00,2025-01-02T19:00:00,0.91
908,DCH,2025-01-02T19:00:00,2025-01-02T23:00:00,2.48
908,DCL,2025-01-01T23:00:00,2025-01-02T03:00:00,2
908,DCL,2025-01-02T03:00:00,2025-01-02T07:00:00,4.69
908,DCL,2025-01-02T07:00:00,2025-01-02T11:00:00,3.61
908,DCL,2025-01-02T11:00:00,2025-01-02T15:00:00,2
908,DCL,2025-01-02T15:00:00,2025-01-02T19:00:00,5.3
908,DCL,2025-01-02T19:00:00,2025-01-02T23:00:00,2.5
910,DCH,2025-01-02T23:00:00,2025-01-03T03:00:00,2.75
910,DCH,2025-01-03T03:00:00,2025-01-03T07:00:00,6
910,DCH,2025-01-03T07:00:00,2025-01-03T11:00:00,1
910,DCH,2025-01-03T11:00:00,2025-01-03T15:00:00,1
910,DCH,2025-01-03T15:00:00,2025-01-03T19:00:00,9.69
910,DCH,2025-01-03T19:00:00,2025-01-03T23:00:00,-0.07
910,DCL,2025-01-02T23:00:00,2025-01-03T03:00:00,1.75
910,DCL,2025-01-03T03:00:00,2025-01-03T07:00:00,4.27
910,DCL,2025-01-03T07:00:00,2025-01-03T11:00:00,4.69
910,DCL,2025-01-03T11:00:00,2025-01-03T15:00:00,3.13
910,DCL,2025-01-03T15:00:00,2025-01-03T19:00:00,13.37
910,DCL,2025-01-03T19:00:00,2025-01-03T23:00:00,3.25
912,DCH,2025-01-03T23:00:00,2025-01-04T03:00:00,0.87
912,DCH,2025-01-04T03:00:00,2025-01-04T07:00:00,2.99
912,DCH,2025-01-04T07:00:00,2025-01-04T11:00:00,2
912,DCH,2025-01-04T11:00:00,2025-01-04T15:00:00,1.79
912,DCH,2025-01-04T15:00:00,2025-01-04T19:00:00,1.94
912,DCH,2025-01-04T19:00:00,2025-01-04T23:00:00,1.77
912,DCL,2025-01-03T23:00:00,2025-01-04T03:00:00,2.2
912,DCL,2025-01-04T03:00:00,2025-01-04T07:00:00,1.25
912,DCL,2025-01-04T07:00:00,2025-01-04T11:00:00,2.08
912,DCL,2025-01-04T11:00:00,2025-01-04T15:00:00,1.45
912,DCL,2025-01-04T15:00:00,2025-01-04T19:00:00,3.4
912,DCL,2025-01-04T19:00:00,2025-01-04T23:00:00,1.92
914,DCH,2025-01-04T23:00:00,2025-01-05T03:00:00,0.77
914,DCH,2025-01-05T03:00:00,2025-01-05T07:00:00,4.5
914,DCH,2025-01-05T07:00:00,2025-01-05T11:00:00,3.69
914,DCH,2025-01-05T11:00:00,2025-01-05T15:00:00,1.46
914,DCH,2025-01-05T15:00:00,2025-01-05T19:00:00,2.49
