Date,DAM_Daily_Profit,IDM_Daily_Profit,DC_Daily_Profit
2022-01-01,1762.53,1373.38,7281.0
2022-01-02,1525.53,836.09,6567.0
2022-01-03,1996.05,2021.93,5930.6
2022-01-04,733.7,1244.53,2725.8
2022-01-05,1593.34,1396.15,3465.6
2022-01-06,521.96,508.72,1778.2
2022-01-07,859.86,1034.66,1943.0
2022-01-08,606.73,469.06,4377.3
2022-01-09,1741.41,1631.21,2003.5
2022-01-10,739.49,633.06,1839.4
2022-01-11,991.44,377.79,4086.4
2022-01-12,732.34,1213.76,3835.8
2022-01-13,637.63,611.37,3717.1
2022-01-14,6187.93,5221.5,4293.1
2022-01-15,597.87,1298.64,453.8
2022-01-16,760.76,416.24,541.1
2022-01-17,7561.55,2049.77,5039.0
2022-01-18,611.52,777.33,1847.4
2022-01-19,501.6,612.39,3413.4
2022-01-20,1007.42,535.37,2534.7
2022-01-21,610.9,611.23,956.8
2022-01-22,470.48,380.5,404.5
2022-01-23,560.18,729.62,598.7
2022-01-24,7714.1,13043.19,3998.7
2022-01-25,1659.76,3475.1,3304.0
2022-01-26,558.62,585.47,2766.7
2022-01-27,822.83,1114.17,2490.2
2022-01-28,496.54,657.69,3749.8
2022-01-29,1694.88,1217.33,7707.2
2022-01-30,408.56,653.55,2458.2
2022-01-31,1604.55,1856.35,5642.2
2022-02-01,956.75,470.64,5730.2
2022-02-02,534.49,767.59,1587.8
2022-02-03,457.7,319.42,5001.3
2022-02-04,432.39,504.43,2962.6
2022-02-05,423.2,650.22,7256.3
2022-02-06,2076.71,2143.59,7681.6
2022-02-07,629.38,708.5,4329.9
2022-02-08,585.84,1442.74,3844.8
2022-02-09,776.33,1847.33,3897.9
2022-02-10,404.11,358.23,5536.3
2022-02-11,438.92,312.65,2682.9
2022-02-12,499.84,587.63,7673.3
2022-02-13,806.01,818.42,6115.8
2022-02-14,558.03,708.87,4926.1
2022-02-15,572.66,509.07,6800.3
2022-02-16,735.36,1454.87,7687.0
2022-02-17,1512.86,1575.95,7380.8
2022-02-18,678.79,1245.95,6435.2
2022-02-19,1241.14,1464.54,6451.8
2022-02-20,1652.49,1285.69,7937.0
2022-02-21,1857.76,848.55,7605.4
2022-02-22,609.75,826.66,7126.1
2022-02-23,423.54,743.38,6693.4
2022-02-24,570.16,1362.04,6867.8
2022-02-25,1867.24,949.73,5584.6
2022-02-26,792.17,512.34,6601.3
2022-02-27,1054.51,1342.53,7632.6
2022-02-28,1046.91,1105.19,2380.8
2022-03-01,1152.97,716.71,2735.7
2022-03-02,631.8,2552.6,4061.8
2022-03-03,1869.29,1526.48,2705.6
2022-03-04,2026.0,1273.47,3643.8
2022-03-05,643.59,1486.26,2305.9
2022-03-06,2508.74,1632.69,2250.6
2022-03-07,1093.07,1773.99,660.5
2022-03-08,2780.17,2590.24,7509.1
2022-03-09,1520.19,1288.48,6306.9
2022-03-10,1133.31,319.54,3945.9
2022-03-11,1205.96,1594.31,6776.0
2022-03-12,1110.53,1152.96,6695.4
2022-03-13,1973.79,1711.4,8024.3
2022-03-14,1386.06,921.85,4606.4
