config_id,power_mw,energy_mwh,scenario,dc_price_scale_factor,dam_weight,idm_weight,dc_weight,expected_return,portfolio_risk
15,5,15,base_case,1.0,1.0,1.1102230246251565e-16,2.7755575615628914e-17,594.1501912568306,440.7503568603956
15,5,15,down_10%,0.9,1.0,0.0,0.0,594.1501912568306,440.7503568603956
15,5,15,down_5%,0.95,0.9999999999999998,2.220446049250313e-16,1.3877787807814457e-17,594.1501912568306,440.7503568603956
15,5,15,up_5%,1.05,0.9999999999999998,1.1102230246251565e-16,0.0,594.1501912568306,440.7503568603956
15,5,15,up_10%,1.1,0.9999999999999998,1.6653345369377348e-16,0.0,594.1501912568306,440.7503568603956
15,5,15,up_15%,1.15,0.9999999999999998,1.1102230246251565e-16,0.0,594.1501912568306,440.7503568603956
15,5,15,up_25%,1.25,0.9826049654076322,0.01739503459236791,0.0,594.5276568536466,441.58327484364526
15,5,15,up_20%,1.2,1.0,3.664603343001005e-17,4.9873299934333204e-18,594.1501912568306,440.7503568603956
15,5,15,up_30%,1.3,0.9421128881777807,0.05788711182221917,0.0,595.4063194407616,443.79507916977155
15,5,15,up_40%,1.4,0.7858952592177355,0.21410474078226455,0.0,598.7961822338175,454.7865438901485
15,5,15,up_50%,1.5,1.1968439636606037e-16,0.7002974478210758,0.29970255217892405,610.6209572731829,483.0859215164399
15,5,15,up_60%,1.6,0.0,0.44755295571249115,0.5524470442875088,628.2484260594949,481.2988565012289
15,5,15,up_70%,1.7,3.1474117651463273e-17,0.3898946457836248,0.6101053542163751,653.882159579134,484.8615826168154
15,5,15,up_80%,1.8,0.0,0.35394028311949033,0.6460597168805097,681.8957698717659,486.61185751995083
15,5,15,up_90%,1.9,5.120388924029151e-17,0.3146433978074372,0.6853566021925628,713.2555915132612,487.8666503437846
15,5,15,up_100%,2.0,0.0,0.26307268642157194,0.736927313578428,749.9832042249792,488.8772011493536
16,10,30,base_case,1.0,1.0,1.1102230246251565e-16,0.0,1188.3009289617482,881.5005042668417
16,10,30,down_10%,0.9,1.0,5.551115123125783e-17,0.0,1188.3009289617482,881.5005042668417
16,10,30,down_5%,0.95,1.0,1.1102230246251565e-16,2.1683917201269098e-17,1188.3009289617482,881.5005042668417
16,10,30,up_5%,1.05,1.0,0.0,0.0,1188.3009289617482,881.5005042668417
16,10,30,up_10%,1.1,1.0,1.6653345369377348e-16,0.0,1188.3009289617482,881.5005042668417
16,10,30,up_15%,1.15,1.0,5.551115123125783e-17,0.0,1188.3009289617482,881.5005042668417
16,10,30,up_25%,1.25,0.982608246589396,0.017391753410604047,5.204170427930421e-17,1189.055705874989,883.166016558541
16,10,30,up_20%,1.2,1.0,1.0364972768961422e-16,0.0,1188.3009289617482,881.5005042668417
16,10,30,up_30%,1.3,0.9421184138703166,0.05788158612968354,0.0,1190.8129059821792,887.5893156333833
16,10,30,up_40%,1.4,0.7859010337277809,0.21409896627221914,1.3877787807814457e-17,1197.5925140639404,909.5719602702304
16,10,30,up_50%,1.5,1.6294323858076616e-16,0.700313436558244,0.2996865634417559,1221.2408210299159,966.1737582941659
16,10,30,up_60%,1.6,0.0,0.4475483837076968,0.5524516162923032,1256.4985056289524,962.5980794192628
16,10,30,up_70%,1.7,0.0,0.38989569619844516,0.610104303801555,1307.7644683240069,969.7229758528683
16,10,30,up_80%,1.8,2.7755575615628914e-17,0.3539390896781721,0.6460609103218279,1363.7933240739046,973.2234283432941
16,10,30,up_90%,1.9,0.0,0.31464335257340137,0.6853566474265987,1426.5115274119926,975.7337468413626
16,10,30,up_100%,2.0,0.0,0.26307441959151556,0.7369255804084847,1499.9679563812451,977.7541799071939
17,15,60,base_case,1.0,0.9903021868022538,1.3877787807814457e-17,0.00969781319774626,2181.0484450144345,1677.5621545558968
17,15,60,down_10%,0.9,0.9843324901298152,0.0,0.015667509870184764,2173.240140626303,1671.8438742820476
17,15,60,down_5%,0.95,0.9872581980949962,2.7755575615628914e-17,0.012741801905003798,2177.2605813647383,1674.7186050629825
17,15,60,up_5%,1.05,0.9934710219038182,2.7755575615628914e-17,0.006528978096181869,2184.588601445321,1680.3719235552753
17,15,60,up_10%,1.1,0.9967649550573081,0.0,0.003235044942692035,2187.858868561744,1683.1395244953483
17,15,60,up_15%,1.15,1.0,0.0,0.0,2190.6869672131147,1685.714140067136
17,15,60,up_25%,1.25,1.0,0.0,3.469446951953614e-18,2190.6869672131147,1685.714140067136
17,15,60,up_20%,1.2,1.0,0.0,4.85722573273506e-17,2190.6869672131147,1685.714140067136
17,15,60,up_30%,1.3,1.0,1.1102230246251565e-16,0.0,2190.6869672131147,1685.714140067136
17,15,60,up_40%,1.4,1.0,8.326672684688674e-17,0.0,2190.6869672131147,1685.714140067136
17,15,60,up_50%,1.5,0.9916399693829924,0.008360030617007741,6.938893903907228e-18,2191.3627920881936,1686.8575494419567
17,15,60,up_60%,1.6,0.9199715835552342,0.08002841644476577,5.041540102057596e-18,2197.1564643985093,1698.3518754218758
17,15,60,up_70%,1.7,0.7332141811633641,0.24359885552389635,0.02318696331273952,2206.759441648748,1721.8171250740597
17,15,60,up_80%,1.8,0.0,0.7775295329818225,0.22247046701817758,2245.4334486855487,1816.1488252391466
17,15,60,up_90%,1.9,9.755555673048147e-17,0.5768734557828016,0.42312654421719825,2272.5405402598676,1781.3355028799776
17,15,60,up_100%,2.0,8.312807446345615e-17,0.45855000189543027,0.5414499981045697,2337.622522961245,1800.7542352282983
