config_id,power_mw,energy_mwh,dam_mean,idm_mean,dc_mean,dam_variance,idm_variance,dc_variance,corr_dam_idm,corr_dam_dc,corr_idm_dc,cov_dam_idm,cov_dam_dc,cov_idm_dc,num_days
1,10,10,446.8911,472.6566,797.8675,97387.2967,151441.9848,162514.2886,0.6646,0.7225,0.4759,80710.759,90893.3175,74658.5986,366
2,30,30,1340.6728,1417.9703,2393.5997,876486.4229,1362976.8077,1462634.8149,0.6646,0.7225,0.4759,726396.7624,818041.8641,671925.0816,366
3,50,50,2234.4548,2363.2839,3989.335,2434683.8492,3786047.1783,4062889.3315,0.6646,0.7225,0.4759,2017768.5231,2272337.032,1866455.3113,366
4,100,100,4468.9094,4726.5683,7978.6702,9738735.9625,15144186.8275,16251556.7459,0.6646,0.7225,0.4759,8071072.7295,9089348.5426,7465813.9866,366
5,10,15,649.1234,681.6327,797.8675,212651.2687,330665.5478,162514.2886,0.6687,0.7221,0.4698,177327.0442,134234.7541,108911.3742,366
6,50,75,3245.6184,3408.1642,3989.335,5316288.0791,8266634.3899,4062889.3315,0.6687,0.7221,0.4698,4433176.5058,3355874.9306,2722773.2405,366
7,100,150,6491.2368,6816.3284,7978.6702,21265149.6722,33066536.4572,16251556.7459,0.6687,0.7221,0.4698,17732705.4971,13423498.1055,10891091.7962,366
8,10,20,845.6515,884.3255,797.8675,371160.6905,576362.5601,162514.2886,0.67,0.7211,0.4654,309866.6441,177089.4611,142440.5851,366
9,30,60,2536.9552,2652.9767,2393.5997,3340444.6693,5187262.2263,1462634.8149,0.67,0.7211,0.4654,2788799.1544,1593807.2946,1281963.9444,366
10,50,100,4228.259,4421.6281,3989.335,9279014.345,14409063.7956,4062889.3315,0.67,0.721,0.4654,7746664.8307,4427241.1704,3561002.7951,366
11,100,200,8456.518,8843.2554,7978.6702,37116056.6926,57636251.3948,16251556.7459,0.67,0.721,0.4654,30986657.2695,17708964.0508,14244010.9317,366
12,200,400,16913.0361,17686.5111,15957.3402,148464215.029,230545006.8566,65006228.1441,0.67,0.721,0.4654,123946630.7874,70835852.8092,56976045.0961,366
13,300,600,25369.5539,26529.7669,23936.0104,334044492.7496,518726271.6754,146264012.4537,0.67,0.721,0.4654,278879927.9505,159380672.0823,128196100.1986,366
14,400,800,33826.0719,35373.0224,31914.6803,593856844.3366,922180016.202,260024912.5762,0.67,0.721,0.4654,495786507.6841,283343412.977,227904179.6952,366
15,5,15,594.1502,615.8498,398.9322,194260.8771,272373.3054,40628.0033,0.7017,0.715,0.4847,161409.5249,63518.0464,50982.9448,366
16,10,30,1188.3009,1231.6995,797.8675,777043.139,1089492.8841,162514.2886,0.7017,0.715,0.4846,645637.8546,254071.5071,203929.9847,366
17,15,60,2190.687,2271.527,1196.8,2841632.162,3735564.1136,365661.9687,0.7355,0.7078,0.5017,2396340.667,721508.052,586338.876,366
