EFA Date,EFA,Clearing Price
01/01/2022,1,1.1
01/01/2022,2,11.99
01/01/2022,3,2.75
01/01/2022,4,1.2
01/01/2022,5,11.99
01/01/2022,6,11.99
02/01/2022,1,1.1
02/01/2022,2,1.2
02/01/2022,3,1.2
02/01/2022,4,1.2
02/01/2022,5,11.99
02/01/2022,6,11.99
03/01/2022,1,2.04
03/01/2022,2,1.2
03/01/2022,3,1
03/01/2022,4,1.2
03/01/2022,5,11.99
03/01/2022,6,11.99
04/01/2022,1,1.1
04/01/2022,2,1.2
04/01/2022,3,2.2
04/01/2022,4,0.65
04/01/2022,5,0.65
04/01/2022,6,0.69
05/01/2022,1,1.1
05/01/2022,2,11.99
05/01/2022,3,0.8
05/01/2022,4,0.8
05/01/2022,5,11.99
05/01/2022,6,5
06/01/2022,1,0.55
06/01/2022,2,2.24
06/01/2022,3,1.2
06/01/2022,4,1.2
06/01/2022,5,1.65
06/01/2022,6,2.42
07/01/2022,1,1.1
07/01/2022,2,11.99
07/01/2022,3,1
07/01/2022,4,2.14
07/01/2022,5,11.99
07/01/2022,6,5
08/01/2022,1,1.1
08/01/2022,2,3
08/01/2022,3,1
08/01/2022,4,0.67
08/01/2022,5,6.3
08/01/2022,6,11.99
09/01/2022,1,1.1
09/01/2022,2,1.2
09/01/2022,3,1.2
09/01/2022,4,1
09/01/2022,5,11.99
09/01/2022,6,0.7
10/01/2022,1,0.69
10/01/2022,2,1.2
10/01/2022,3,1
10/01/2022,4,1.2
10/01/2022,5,2.61
10/01/2022,6,5
11/01/2022,1,1.1
11/01/2022,2,11.9
11/01/2022,3,1.2
11/01/2022,4,1.2
11/01/2022,5,11.99
11/01/2022,6,5
12/01/2022,1,0.67
12/01/2022,2,1.2
12/01/2022,3,1.2
12/01/2022,4,1
12/01/2022,5,11.99
12/01/2022,6,11.99
13/01/2022,1,0.62
13/01/2022,2,2.42
13/01/2022,3,1.2
13/01/2022,4,2.23
13/01/2022,5,11.99
13/01/2022,6,5
14/01/2022,1,0.48
14/01/2022,2,2.96
14/01/2022,3,11.99
14/01/2022,4,2.53
14/01/2022,5,11.99
14/01/2022,6,11.99
15/01/2022,1,0.49
15/01/2022,2,0.52
15/01/2022,3,1.2
15/01/2022,4,0.48
15/01/2022,5,0.62
15/01/2022,6,1
16/01/2022,1,0.63
16/01/2022,2,1
16/01/2022,3,2.59
16/01/2022,4,1
16/01/2022,5,0.63
16/01/2022,6,1
17/01/2022,1,2.13
17/01/2022,2,11.99
17/01/2022,3,11.99
17/01/2022,4,0.8
17/01/2022,5,11.99
17/01/2022,6,11.99
18/01/2022,1,0.58
18/01/2022,2,1
18/01/2022,3,2.56
18/01/2022,4,2.46
18/01/2022,5,2.28
18/01/2022,6,2.07
19/01/2022,1,0.63
19/01/2022,2,2.51
19/01/2022,3,0.64
19/01/2022,4,0.61
19/01/2022,5,2.68
19/01/2022,6,2.97
20/01/2022,1,2.3
20/01/2022,2,11.99
20/01/2022,3,2.01
20/01/2022,4,0.63
20/01/2022,5,11.99
20/01/2022,6,2.32
21/01/2022,1,0.59
21/01/2022,2,2
21/01/2022,3,3
21/01/2022,4,3
21/01/2022,5,11.99
21/01/2022,6,1
22/01/2022,1,0.53
22/01/2022,2,2.01
22/01/2022,3,1.1
22/01/2022,4,0.55
22/01/2022,5,0.54
22/01/2022,6,1.1
23/01/2022,1,0.56
23/01/2022,2,0.98
23/01/2022,3,3
23/01/2022,4,0.8
23/01/2022,5,0.98
23/01/2022,6,3
24/01/2022,1,0.64
24/01/2022,2,2.49
24/01/2022,3,3
24/01/2022,4,2.71
24/01/2022,5,11.99
24/01/2022,6,11.99
25/01/2022,1,1.1
25/01/2022,2,2.88
25/01/2022,3,1
25/01/2022,4,2.36
25/01/2022,5,11.99
25/01/2022,6,11.99
26/01/2022,1,2.28
26/01/2022,2,11.99
26/01/2022,3,11.99
26/01/2022,4,0.8
26/01/2022,5,1.2
26/01/2022,6,11.99
27/01/2022,1,3
27/01/2022,2,11.99
27/01/2022,3,3
27/01/2022,4,1.1
27/01/2022,5,11
27/01/2022,6,2.39
28/01/2022,1,1.2
28/01/2022,2,2.05
28/01/2022,3,2.33
28/01/2022,4,2.8
28/01/2022,5,1.2
28/01/2022,6,11.99
29/01/2022,1,3
29/01/2022,2,11.99
29/01/2022,3,12
29/01/2022,4,3
29/01/2022,5,11.99
29/01/2022,6,11.99
30/01/2022,1,3
30/01/2022,2,1.1
30/01/2022,3,2.55
30/01/2022,4,2.9
30/01/2022,5,3
30/01/2022,6,11.99
31/01/2022,1,3
31/01/2022,2,11.99
31/01/2022,3,3
31/01/2022,4,1.86
31/01/2022,5,11.99
31/01/2022,6,2.58
01/02/2022,1,3
01/02/2022,2,11.9
01/02/2022,3,3.4
01/02/2022,4,3
01/02/2022,5,11.99
01/02/2022,6,7.3
02/02/2022,1,5.29
02/02/2022,2,11.99
02/02/2022,3,2.46
02/02/2022,4,1.6
02/02/2022,5,3
02/02/2022,6,2.91
03/02/2022,1,3
03/02/2022,2,11.99
03/02/2022,3,2.53
03/02/2022,4,1.6
03/02/2022,5,11.99
03/02/2022,6,11.99
04/02/2022,1,2.01
04/02/2022,2,7.82
04/02/2022,3,1.1
04/02/2022,4,3
04/02/2022,5,11.99
04/02/2022,6,2
05/02/2022,1,2.95
05/02/2022,2,11.99
05/02/2022,3,11.99
05/02/2022,4,3
05/02/2022,5,11.99
05/02/2022,6,11.99
06/02/2022,1,2.26
06/02/2022,2,11.99
06/02/2022,3,11.99
06/02/2022,4,2.95
06/02/2022,5,11.99
06/02/2022,6,11.99
07/02/2022,1,3
07/02/2022,2,3
07/02/2022,3,2.01
07/02/2022,4,1.2
07/02/2022,5,11.99
07/02/2022,6,2
08/02/2022,1,1.1
08/02/2022,2,11.99
08/02/2022,3,2.23
08/02/2022,4,0.56
08/02/2022,5,2.34
08/02/2022,6,11.99
09/02/2022,1,2.91
09/02/2022,2,11.99
09/02/2022,3,1.2
09/02/2022,4,0.69
09/02/2022,5,11.99
09/02/2022,6,11.99
10/02/2022,1,1.1
10/02/2022,2,11.99
10/02/2022,3,2.31
10/02/2022,4,1.2
10/02/2022,5,11.99
10/02/2022,6,4.9
11/02/2022,1,2.95
11/02/2022,2,11.98
11/02/2022,3,2.49
11/02/2022,4,1.2
11/02/2022,5,2.95
11/02/2022,6,11.99
12/02/2022,1,11.99
12/02/2022,2,11.99
12/02/2022,3,2.95
12/02/2022,4,2
12/02/2022,5,11.99
12/02/2022,6,11.99
13/02/2022,1,11.99
13/02/2022,2,11.99
13/02/2022,3,11.99
13/02/2022,4,0.64
13/02/2022,5,2.5
13/02/2022,6,11.99
14/02/2022,1,11.99
14/02/2022,2,11.99
14/02/2022,3,0.61
14/02/2022,4,0.9
14/02/2022,5,2.74
14/02/2022,6,2
15/02/2022,1,11.99
15/02/2022,2,11.99
15/02/2022,3,1.2
15/02/2022,4,1.2
15/02/2022,5,2.5
15/02/2022,6,11.99
16/02/2022,1,11.99
16/02/2022,2,11.99
16/02/2022,3,2.95
16/02/2022,4,2.43
16/02/2022,5,11.99
16/02/2022,6,11.99
17/02/2022,1,11.99
17/02/2022,2,11.99
17/02/2022,3,2.95
17/02/2022,4,2.85
17/02/2022,5,11.99
17/02/2022,6,2
18/02/2022,1,3.4
18/02/2022,2,5.83
18/02/2022,3,0.78
18/02/2022,4,1.2
18/02/2022,5,2.5
18/02/2022,6,11.99
19/02/2022,1,11.99
19/02/2022,2,11.99
19/02/2022,3,11.99
19/02/2022,4,0.63
19/02/2022,5,11.99
19/02/2022,6,11.99
20/02/2022,1,11.99
20/02/2022,2,11.99
20/02/2022,3,11.99
20/02/2022,4,1.2
20/02/2022,5,11.99
20/02/2022,6,11.99
21/02/2022,1,11.99
21/02/2022,2,11.99
21/02/2022,3,11
21/02/2022,4,2.62
21/02/2022,5,11.99
21/02/2022,6,1.2
22/02/2022,1,2.87
22/02/2022,2,6.36
22/02/2022,3,1.2
22/02/2022,4,1.4
22/02/2022,5,11.99
22/02/2022,6,11.99
23/02/2022,1,2.95
23/02/2022,2,2.95
23/02/2022,3,1.2
23/02/2022,4,1.2
23/02/2022,5,2
23/02/2022,6,11.99
24/02/2022,1,2.95
24/02/2022,2,7.07
24/02/2022,3,1.2
24/02/2022,4,2.03
24/02/2022,5,2.5
24/02/2022,6,11.99
25/02/2022,1,4.8
25/02/2022,2,11.99
25/02/2022,3,1.2
25/02/2022,4,0.63
25/02/2022,5,11.99
25/02/2022,6,11.99
26/02/2022,1,1.1
26/02/2022,2,2.95
26/02/2022,3,2
26/02/2022,4,3.4
26/02/2022,5,11.99
26/02/2022,6,11.99
27/02/2022,1,2.95
27/02/2022,2,11.99
27/02/2022,3,11.98
27/02/2022,4,0.74
27/02/2022,5,11.99
27/02/2022,6,11.99
28/02/2022,1,11.99
28/02/2022,2,2.95
28/02/2022,3,0.9
28/02/2022,4,0.1
28/02/2022,5,0.64
28/02/2022,6,0.9
01/03/2022,1,0.9
01/03/2022,2,2.71
01/03/2022,3,0.9
01/03/2022,4,0.61
01/03/2022,5,11
01/03/2022,6,10.36
02/03/2022,1,0.9
02/03/2022,2,5
02/03/2022,3,2.35
02/03/2022,4,0.9
02/03/2022,5,10.36
02/03/2022,6,10.36
03/03/2022,1,1.2
03/03/2022,2,10.36
03/03/2022,3,0.47
03/03/2022,4,0.48
03/03/2022,5,1.2
03/03/2022,6,11.99
04/03/2022,1,1
04/03/2022,2,2.38
04/03/2022,3,1.2
04/03/2022,4,1.2
04/03/2022,5,11.99
04/03/2022,6,2.95
05/03/2022,1,0.6
05/03/2022,2,1
05/03/2022,3,0.78
05/03/2022,4,0.76
05/03/2022,5,11.99
05/03/2022,6,1.2
06/03/2022,1,0.47
06/03/2022,2,0.6
06/03/2022,3,1.2
06/03/2022,4,0.5
06/03/2022,5,11.99
06/03/2022,6,0.46
07/03/2022,1,0.49
07/03/2022,2,1.2
07/03/2022,3,1.2
07/03/2022,4,0.6
07/03/2022,5,1.2
07/03/2022,6,1.2
08/03/2022,1,2.61
08/03/2022,2,11.99
08/03/2022,3,7.2
08/03/2022,4,2.94
08/03/2022,5,11.99
08/03/2022,6,11.99
09/03/2022,1,1.1
09/03/2022,2,11.99
09/03/2022,3,11.99
09/03/2022,4,12
09/03/2022,5,11.99
09/03/2022,6,11.99
10/03/2022,1,0.76
10/03/2022,2,3.95
10/03/2022,3,2.2
10/03/2022,4,0.65
10/03/2022,5,1.2
10/03/2022,6,11.97
11/03/2022,1,4.01
11/03/2022,2,3.95
11/03/2022,3,4.35
11/03/2022,4,1.2
11/03/2022,5,11.97
11/03/2022,6,11.98
12/03/2022,1,1.8
12/03/2022,2,4.92
12/03/2022,3,4.49
12/03/2022,4,11.97
12/03/2022,5,11.98
12/03/2022,6,11.98
13/03/2022,1,11.98
13/03/2022,2,11.98
13/03/2022,3,11.97
13/03/2022,4,4.95
13/03/2022,5,11.98
13/03/2022,6,11.98
14/03/2022,1,1.2
14/03/2022,2,3.95
14/03/2022,3,1.2
14/03/2022,4,0.62
14/03/2022,5,11.97
14/03/2022,6,11.98
15/03/2022,1,1
15/03/2022,2,3.95
15/03/2022,3,2
15/03/2022,4,3.4
15/03/2022,5,11.97
15/03/2022,6,11.98
16/03/2022,1,0.91
16/03/2022,2,1.2
16/03/2022,3,1.2
16/03/2022,4,0.7
16/03/2022,5,1.2
16/03/2022,6,1.2
17/03/2022,1,0.65
17/03/2022,2,10.14
17/03/2022,3,0.64
17/03/2022,4,0.64
17/03/2022,5,2
17/03/2022,6,2
18/03/2022,1,1.2
18/03/2022,2,6.28
18/03/2022,3,1.2
18/03/2022,4,0.5
18/03/2022,5,0.72
18/03/2022,6,2
19/03/2022,1,4.44
19/03/2022,2,1
19/03/2022,3,4.29
19/03/2022,4,2.95
19/03/2022,5,11.97
19/03/2022,6,11.97
20/03/2022,1,1
20/03/2022,2,1.2
20/03/2022,3,4.37
20/03/2022,4,1.2
20/03/2022,5,11.94
20/03/2022,6,1.2
21/03/2022,1,0.98
21/03/2022,2,4.95
21/03/2022,3,3
21/03/2022,4,4
21/03/2022,5,11.94
21/03/2022,6,1.2
22/03/2022,1,4.36
22/03/2022,2,3.95
22/03/2022,3,2.6
22/03/2022,4,4.15
22/03/2022,5,5
22/03/2022,6,4.7
23/03/2022,1,1.2
23/03/2022,2,6.7
23/03/2022,3,4.02
23/03/2022,4,1.2
23/03/2022,5,10.99
23/03/2022,6,4.99
24/03/2022,1,1.2
24/03/2022,2,1.2
24/03/2022,3,0.76
24/03/2022,4,0.66
24/03/2022,5,2
24/03/2022,6,1.2
25/03/2022,1,0.61
25/03/2022,2,1.2
25/03/2022,3,0.61
25/03/2022,4,0.66
25/03/2022,5,0.58
25/03/2022,6,2.75
26/03/2022,1,0.49
26/03/2022,2,1.32
26/03/2022,3,0.52
26/03/2022,4,0.53
26/03/2022,5,2
26/03/2022,6,0.52
27/03/2022,1,0.68
27/03/2022,2,0.7
27/03/2022,3,1.2
27/03/2022,4,0.68
27/03/2022,5,2
27/03/2022,6,1.2
28/03/2022,1,1.1
28/03/2022,2,3.95
28/03/2022,3,1.2
28/03/2022,4,0.5
28/03/2022,5,1.2
28/03/2022,6,11
29/03/2022,1,0.56
29/03/2022,2,3.95
29/03/2022,3,2.8
29/03/2022,4,1
29/03/2022,5,3.95
29/03/2022,6,0.55
30/03/2022,1,0.5
30/03/2022,2,1.2
30/03/2022,3,0.82
30/03/2022,4,1.25
30/03/2022,5,0.8
30/03/2022,6,0.5
31/03/2022,1,0.58
31/03/2022,2,0.5
31/03/2022,3,0.51
31/03/2022,4,2.41
31/03/2022,5,0.56
31/03/2022,6,0.54
01/04/2022,1,1.7
01/04/2022,2,6.5
01/04/2022,3,0.93
01/04/2022,4,0.25
01/04/2022,5,0.58
01/04/2022,6,0.58
02/04/2022,1,0.62
02/04/2022,2,3
02/04/2022,3,0.61
02/04/2022,4,1.65
02/04/2022,5,3.95
02/04/2022,6,0.5
03/04/2022,1,0.54
03/04/2022,2,2.88
03/04/2022,3,0.57
03/04/2022,4,0.5
03/04/2022,5,1.2
03/04/2022,6,1.37
04/04/2022,1,2.2
04/04/2022,2,8.17
04/04/2022,3,5.2
04/04/2022,4,1.83
04/04/2022,5,10
04/04/2022,6,3.61
05/04/2022,1,6
05/04/2022,2,8.5
05/04/2022,3,1.2
05/04/2022,4,2.98
05/04/2022,5,5.35
05/04/2022,6,2.95
06/04/2022,1,1.2
06/04/2022,2,10.88
06/04/2022,3,0.78
06/04/2022,4,2.5
06/04/2022,5,6.51
06/04/2022,6,2.95
07/04/2022,1,4.98
07/04/2022,2,11.98
07/04/2022,3,3.96
07/04/2022,4,4
07/04/2022,5,5.92
07/04/2022,6,3.95
08/04/2022,1,5
08/04/2022,2,6
08/04/2022,3,0.73
08/04/2022,4,1.86
08/04/2022,5,7
08/04/2022,6,4
09/04/2022,1,1.2
09/04/2022,2,1.2
09/04/2022,3,1
09/04/2022,4,1.1
09/04/2022,5,5.55
09/04/2022,6,0.62
10/04/2022,1,2.35
10/04/2022,2,2.55
10/04/2022,3,0.9
10/04/2022,4,0.69
10/04/2022,5,1
10/04/2022,6,0.75
11/04/2022,1,3.01
