Date,EFA,Clearing Price
01/01/2022,1,16.98
01/01/2022,2,16.98
01/01/2022,3,16.99
01/01/2022,4,47.58
01/01/2022,5,47.99
01/01/2022,6,39.99
02/01/2022,1,7
02/01/2022,2,16.98
02/01/2022,3,16.99
02/01/2022,4,47.59
02/01/2022,5,47.99
02/01/2022,6,39.99
03/01/2022,1,16.98
03/01/2022,2,16.98
03/01/2022,3,16.99
03/01/2022,4,16.98
03/01/2022,5,47.99
03/01/2022,6,39.99
04/01/2022,1,7
04/01/2022,2,16.6
04/01/2022,3,1.1
04/01/2022,4,1
04/01/2022,5,47.99
04/01/2022,6,5
05/01/2022,1,7
05/01/2022,2,16.98
05/01/2022,3,1.1
05/01/2022,4,2
05/01/2022,5,47.31
05/01/2022,6,2.23
06/01/2022,1,2.23
06/01/2022,2,1
06/01/2022,3,1
06/01/2022,4,1
06/01/2022,5,1.1
06/01/2022,6,39.98
07/01/2022,1,1.1
07/01/2022,2,16.7
07/01/2022,3,1.1
07/01/2022,4,0.6
07/01/2022,5,3
07/01/2022,6,5
08/01/2022,1,1.1
08/01/2022,2,16.7
08/01/2022,3,6.27
08/01/2022,4,0.69
08/01/2022,5,47.98
08/01/2022,6,39.99
09/01/2022,1,0.9
09/01/2022,2,1
09/01/2022,3,1
09/01/2022,4,1
09/01/2022,5,2.03
09/01/2022,6,39.49
10/01/2022,1,0.78
10/01/2022,2,1
10/01/2022,3,1.1
10/01/2022,4,0.01
10/01/2022,5,2.9
10/01/2022,6,39.99
11/01/2022,1,2.88
11/01/2022,2,3
11/01/2022,3,1.1
11/01/2022,4,1
11/01/2022,5,47.34
11/01/2022,6,39.99
12/01/2022,1,2.16
12/01/2022,2,1
12/01/2022,3,0.8
12/01/2022,4,0.8
12/01/2022,5,47.07
12/01/2022,6,39.99
13/01/2022,1,2.02
13/01/2022,2,1
13/01/2022,3,0.9
13/01/2022,4,2.15
13/01/2022,5,47.19
13/01/2022,6,39.44
14/01/2022,1,0.8
14/01/2022,2,1.07
14/01/2022,3,1.1
14/01/2022,4,2.05
14/01/2022,5,47.21
14/01/2022,6,39.99
15/01/2022,1,0.6
15/01/2022,2,0.9
15/01/2022,3,0.52
15/01/2022,4,0.53
15/01/2022,5,2.72
15/01/2022,6,4.6
16/01/2022,1,0.64
16/01/2022,2,1
16/01/2022,3,0.9
16/01/2022,4,0.54
16/01/2022,5,1.98
16/01/2022,6,5
17/01/2022,1,1.1
17/01/2022,2,16
17/01/2022,3,2.17
17/01/2022,4,0.9
17/01/2022,5,47.28
17/01/2022,6,39.13
18/01/2022,1,0.8
18/01/2022,2,1
18/01/2022,3,2.09
18/01/2022,4,0.84
18/01/2022,5,2.06
18/01/2022,6,39.99
19/01/2022,1,1.1
19/01/2022,2,6.06
19/01/2022,3,1.1
19/01/2022,4,1
19/01/2022,5,47.39
19/01/2022,6,39.98
20/01/2022,1,1.6
20/01/2022,2,2
20/01/2022,3,0.7
20/01/2022,4,0.68
20/01/2022,5,3
20/01/2022,6,39.99
21/01/2022,1,0.9
21/01/2022,2,2
21/01/2022,3,0.55
21/01/2022,4,0.57
21/01/2022,5,3
21/01/2022,6,1.3
22/01/2022,1,0.61
22/01/2022,2,1
22/01/2022,3,1
22/01/2022,4,1
22/01/2022,5,1.2
22/01/2022,6,2
23/01/2022,1,0.6
23/01/2022,2,0.98
23/01/2022,3,3
23/01/2022,4,0.64
23/01/2022,5,0.98
23/01/2022,6,3.19
24/01/2022,1,2.49
24/01/2022,2,2
24/01/2022,3,0.58
24/01/2022,4,0
24/01/2022,5,47.25
24/01/2022,6,39.82
25/01/2022,1,0.67
25/01/2022,2,1
25/01/2022,3,2.04
25/01/2022,4,1
25/01/2022,5,47.22
25/01/2022,6,20
26/01/2022,1,1.1
26/01/2022,2,1
26/01/2022,3,0.9
26/01/2022,4,0.87
26/01/2022,5,2.36
26/01/2022,6,39.98
27/01/2022,1,6.19
27/01/2022,2,16.98
27/01/2022,3,1.2
27/01/2022,4,2.5
27/01/2022,5,11.72
27/01/2022,6,6.75
28/01/2022,1,3
28/01/2022,2,1
28/01/2022,3,0.65
28/01/2022,4,3
28/01/2022,5,47.98
28/01/2022,6,39.98
29/01/2022,1,16.98
29/01/2022,2,16.98
29/01/2022,3,16.98
29/01/2022,4,47.98
29/01/2022,5,47.98
29/01/2022,6,39.98
30/01/2022,1,1.08
30/01/2022,2,0.85
30/01/2022,3,1.05
30/01/2022,4,3
30/01/2022,5,6.32
30/01/2022,6,39.98
31/01/2022,1,16.98
31/01/2022,2,16.98
31/01/2022,3,16.98
31/01/2022,4,3
31/01/2022,5,47.98
31/01/2022,6,39.98
01/02/2022,1,16.98
01/02/2022,2,16.98
01/02/2022,3,11.46
01/02/2022,4,5.1
01/02/2022,5,47.98
01/02/2022,6,39.98
02/02/2022,1,5.31
02/02/2022,2,5.44
02/02/2022,3,2.02
02/02/2022,4,2.95
02/02/2022,5,2.95
02/02/2022,6,3.7
03/02/2022,1,2.95
03/02/2022,2,16.8
03/02/2022,3,2.53
03/02/2022,4,2.95
03/02/2022,5,47.98
03/02/2022,6,39.98
04/02/2022,1,3
04/02/2022,2,7.97
04/02/2022,3,3
04/02/2022,4,4.11
04/02/2022,5,6.6
04/02/2022,6,39.98
05/02/2022,1,2.95
05/02/2022,2,16.98
05/02/2022,3,16.98
05/02/2022,4,47.98
05/02/2022,5,47.98
05/02/2022,6,39.98
06/02/2022,1,16.98
06/02/2022,2,16.98
06/02/2022,3,16.98
06/02/2022,4,47.98
06/02/2022,5,47.98
06/02/2022,6,39.98
07/02/2022,1,16.6
07/02/2022,2,3
07/02/2022,3,1.6
07/02/2022,4,2.95
07/02/2022,5,47.98
07/02/2022,6,39.98
08/02/2022,1,16.98
08/02/2022,2,16.98
08/02/2022,3,2
08/02/2022,4,2.95
08/02/2022,5,11.05
08/02/2022,6,39.98
09/02/2022,1,16.98
09/02/2022,2,16.98
09/02/2022,3,1.2
09/02/2022,4,2.95
09/02/2022,5,2.95
09/02/2022,6,39.98
10/02/2022,1,16.98
10/02/2022,2,16.98
10/02/2022,3,2.85
10/02/2022,4,47.98
10/02/2022,5,47.98
10/02/2022,6,6.75
11/02/2022,1,1.2
11/02/2022,2,2
11/02/2022,3,1.2
11/02/2022,4,2.95
11/02/2022,5,2.95
11/02/2022,6,39.98
