Date,IDM_Daily_Profit
2021-01-01,144.61
2021-01-02,149.2
2021-01-03,154.32
2021-01-04,163.52
2021-01-05,194.0
2021-01-06,1434.61
2021-01-07,1059.12
2021-01-08,1236.27
2021-01-09,531.09
2021-01-10,274.37
2021-01-11,173.66
2021-01-12,945.92
2021-01-13,2140.76
2021-01-14,3454.43
2021-01-15,3302.21
2021-01-16,980.77
2021-01-17,374.65
2021-01-18,214.97
2021-01-19,137.34
2021-01-20,123.15
2021-01-21,124.71
2021-01-22,153.41
2021-01-23,191.6
2021-01-24,273.31
2021-01-25,302.76
2021-01-26,219.27
2021-01-27,279.49
2021-01-28,163.74
2021-01-29,162.05
2021-01-30,148.45
2021-01-31,153.94
2021-02-01,287.57
2021-02-02,171.07
2021-02-03,148.61
2021-02-04,122.9
2021-02-05,107.02
2021-02-06,100.37
2021-02-07,162.21
2021-02-08,163.21
2021-02-09,132.72
2021-02-10,462.82
2021-02-11,265.17
2021-02-12,136.16
2021-02-13,117.62
2021-02-14,128.92
2021-02-15,136.59
2021-02-16,126.17
2021-02-17,126.64
2021-02-18,121.8
2021-02-19,105.3
2021-02-20,109.92
2021-02-21,157.5
2021-02-22,137.09
2021-02-23,115.03
2021-02-24,132.82
2021-02-25,141.87
2021-02-26,124.71
2021-02-27,144.55
2021-02-28,143.93
2021-03-01,313.0
2021-03-02,637.07
2021-03-03,1447.24
2021-03-04,457.55
2021-03-05,724.43
2021-03-06,330.78
2021-03-07,253.72
2021-03-08,369.91
2021-03-09,163.71
2021-03-10,108.79
2021-03-11,143.43
2021-03-12,169.29
2021-03-13,161.65
2021-03-14,204.73
2021-03-15,326.23
2021-03-16,157.03
2021-03-17,123.77
2021-03-18,92.38
2021-03-19,137.16
2021-03-20,101.12
2021-03-21,122.37
2021-03-22,126.8
2021-03-23,99.43
2021-03-24,91.07
2021-03-25,85.68
2021-03-26,117.47
2021-03-27,137.25
2021-03-29,163.18
2021-03-30,116.28
2021-03-31,84.58
2021-04-01,86.42
2021-04-02,73.04
2021-04-03,80.65
2021-04-04,133.63
2021-04-05,181.18
2021-04-06,108.89
2021-04-07,106.24
2021-04-08,76.32
2021-04-09,90.04
2021-04-10,77.81
2021-04-11,80.71
2021-04-12,140.37
2021-04-13,285.17
2021-04-14,351.19
2021-04-15,196.93
2021-04-16,128.98
2021-04-17,102.52
2021-04-18,88.26
2021-04-19,144.14
2021-04-20,105.58
2021-04-21,75.47
2021-04-22,79.4
2021-04-23,74.04
2021-04-24,68.2
2021-04-25,75.1
2021-04-26,96.38
2021-04-27,77.34
2021-04-28,75.29
2021-04-29,97.03
2021-04-30,122.52
2021-05-01,92.63
2021-05-02,89.33
2021-05-03,106.05
2021-05-04,177.53
2021-05-05,103.02
2021-05-06,85.27
2021-05-07,98.65
2021-05-08,129.95
2021-05-09,153.44
2021-05-10,115.91
2021-05-11,98.12
2021-05-12,137.87
2021-05-13,141.59
2021-05-14,130.14
2021-05-15,96.75
2021-05-16,105.39
2021-05-17,116.91
2021-05-18,121.68
2021-05-19,104.4
2021-05-20,86.02
2021-05-21,143.05
2021-05-22,166.67
2021-05-23,101.49
2021-05-24,108.73
2021-05-25,120.78
2021-05-26,96.44
2021-05-27,113.35
2021-05-28,109.7
2021-05-29,93.76
2021-05-30,95.25
2021-05-31,99.37
2021-06-01,95.97
2021-06-02,89.61
2021-06-03,77.47
2021-06-04,84.12
2021-06-05,78.56
2021-06-06,86.14
2021-06-07,88.33
2021-06-08,77.31
2021-06-09,75.04
2021-06-10,81.49
2021-06-11,89.08
2021-06-12,96.03
2021-06-13,73.48
2021-06-14,100.28
2021-06-15,85.36
2021-06-16,99.06
2021-06-17,102.77
2021-06-18,82.99
2021-06-19,84.27
2021-06-20,105.18
2021-06-21,98.28
2021-06-22,100.59
2021-06-23,152.54
2021-06-24,107.86
2021-06-25,86.27
2021-06-26,89.92
2021-06-27,91.1
2021-06-28,124.99
2021-06-29,87.67
2021-06-30,87.02
2021-07-01,105.89
2021-07-02,105.46
2021-07-03,102.37
2021-07-04,100.21
2021-07-05,115.53
2021-07-06,97.03
2021-07-07,101.46
2021-07-08,113.26
2021-07-09,104.08
2021-07-10,107.11
2021-07-11,108.11
2021-07-12,124.21
2021-07-13,94.29
2021-07-14,76.69
2021-07-15,86.64
2021-07-16,72.38
2021-07-17,97.31
2021-07-18,117.94
2021-07-19,112.29
2021-07-20,132.88
2021-07-21,131.63
2021-07-22,162.61
2021-07-23,109.89
2021-07-24,117.53
2021-07-25,111.29
2021-07-26,135.44
2021-07-27,126.24
2021-07-28,108.39
2021-07-29,174.28
2021-07-30,129.45
2021-07-31,118.59
2021-08-01,107.64
2021-08-02,169.7
2021-08-03,184.14
2021-08-04,134.5
2021-08-05,100.12
2021-08-06,129.17
2021-08-07,155.5
2021-08-08,208.95
2021-08-09,150.07
2021-08-10,149.07
2021-08-11,124.58
2021-08-12,102.59
2021-08-13,126.45
2021-08-14,168.7
2021-08-15,118.68
2021-08-16,143.96
2021-08-17,154.6
2021-08-18,134.25
2021-08-19,221.15
2021-08-20,150.2
2021-08-21,136.41
2021-08-22,134.16
2021-08-23,147.23
2021-08-24,190.07
2021-08-25,135.69
2021-08-26,118.81
2021-08-27,118.19
2021-08-28,120.43
2021-08-29,129.6
2021-08-30,129.76
2021-08-31,139.87
2021-09-01,132.07
2021-09-02,282.3
2021-09-03,294.81
2021-09-04,181.96
2021-09-05,201.08
2021-09-06,1362.78
2021-09-07,847.64
2021-09-08,387.29
2021-09-09,1634.01
2021-09-10,1003.98
2021-09-11,330.78
2021-09-12,480.7
2021-09-13,895.0
2021-09-14,3326.01
2021-09-15,3481.2
2021-09-16,4396.98
2021-09-17,1690.82
2021-09-18,655.39
2021-09-19,538.32
2021-09-20,1774.28
2021-09-21,654.79
2021-09-22,303.89
2021-09-23,459.79
2021-09-24,324.17
2021-09-25,246.6
2021-09-26,213.69
2021-09-27,300.55
2021-09-28,337.43
2021-09-29,307.01
2021-09-30,317.58
2021-10-01,393.06
2021-10-02,368.63
2021-10-03,456.96
2021-10-04,576.42
2021-10-05,456.21
2021-10-06,870.73
2021-10-07,645.56
2021-10-08,583.13
2021-10-09,421.04
2021-10-10,388.75
2021-10-11,406.5
2021-10-12,637.14
2021-10-13,449.34
2021-10-14,334.71
2021-10-15,1780.24
2021-10-16,701.84
2021-10-17,490.21
2021-10-18,352.5
2021-10-19,291.56
2021-10-20,534.92
2021-10-21,636.01
2021-10-22,642.66
2021-10-23,321.45
2021-10-24,425.41
2021-10-25,431.59
2021-10-26,292.78
2021-10-27,418.58
2021-10-28,380.48
2021-10-29,292.31
2021-10-30,382.92
2021-11-01,482.26
2021-11-02,2490.07
2021-11-03,902.4
2021-11-04,432.24
2021-11-05,335.74
2021-11-06,237.0
2021-11-07,482.91
2021-11-08,315.12
2021-11-09,291.38
2021-11-10,527.97
2021-11-11,297.77
2021-11-12,250.94
2021-11-13,281.67
2021-11-14,357.86
2021-11-15,3072.58
2021-11-16,982.86
2021-11-17,471.81
2021-11-18,326.88
2021-11-19,279.58
2021-11-20,208.73
2021-11-21,277.46
2021-11-22,658.94
2021-11-23,1724.3
2021-11-24,1356.64
2021-11-25,692.76
2021-11-26,372.72
2021-11-27,302.55
2021-11-28,400.02
2021-11-29,1807.14
2021-11-30,676.23
2021-12-01,426.6
2021-12-02,888.3
2021-12-03,1008.95
2021-12-04,462.95
2021-12-05,510.12
2021-12-06,401.14
2021-12-07,242.92
2021-12-08,268.38
2021-12-09,439.92
2021-12-10,359.92
2021-12-11,227.01
2021-12-12,227.54
2021-12-13,491.09
2021-12-14,429.41
2021-12-15,448.69
2021-12-16,2704.6
2021-12-17,3173.98
2021-12-18,1187.94
2021-12-19,651.74
2021-12-20,2217.35
2021-12-21,1593.04
2021-12-22,733.17
2021-12-23,372.59
2021-12-24,238.9
2021-12-25,332.69
2021-12-26,327.44
2021-12-27,278.52
2021-12-28,374.84
2021-12-29,360.14
2021-12-30,488.37
2021-12-31,540.04
