Day,IDM_profit,DC_profit
1,144.61,251.7
2,149.2,166.5
3,154.32,139.9
4,163.52,139.5
5,194.0,127.5
6,1434.61,118.8
7,1059.12,139.8
8,1236.27,234.3
9,531.09,262.9
10,274.37,180.7
11,173.66,157.8
12,945.92,117.9
13,2140.76,85.7
14,3454.43,98.3
15,3302.21,210.6
16,980.77,177.1
17,374.65,241.7
18,214.97,232.1
19,137.34,109.4
20,123.15,107.1
21,124.71,145.9
22,153.41,302.8
23,191.6,199.1
24,273.31,160.5
25,302.76,133.5
26,219.27,180.6
27,279.49,135.8
28,163.74,136.7
29,162.05,178.5
30,148.45,168.6
31,153.94,127.2
32,287.57,133.5
33,171.07,123.2
34,148.61,153.2
35,122.9,166.3
36,107.02,186.8
37,100.37,161.0
38,162.21,203.8
39,163.21,138.3
40,132.72,150.0
41,462.82,131.0
42,265.17,120.4
43,136.16,149.7
44,117.62,150.4
45,128.92,130.8
46,136.59,121.6
47,126.17,117.6
48,126.64,110.5
49,121.8,134.5
50,105.3,152.6
51,109.92,144.7
52,157.5,158.6
53,137.09,163.6
54,115.03,163.4
55,132.82,112.7
56,141.87,107.2
57,124.71,172.8
58,144.55,139.7
59,143.93,168.7
60,313.0,162.9
61,637.07,246.6
62,1447.24,144.7
63,457.55,144.3
64,724.43,173.2
65,330.78,150.3
66,253.72,228.4
67,369.91,192.1
68,163.71,204.8
69,108.79,177.9
70,143.43,164.6
71,169.29,215.4
72,161.65,441.5
73,204.73,241.6
74,326.23,228.6
75,157.03,136.9
76,123.77,163.9
77,92.38,177.5
78,137.16,302.7
79,101.12,210.0
80,122.37,329.2
81,126.8,262.3
82,99.43,253.5
83,91.07,263.9
84,85.68,195.8
85,117.47,301.2
86,137.25,254.1
87,163.18,272.5
88,116.28,194.3
89,84.58,215.9
90,86.42,216.4
91,73.04,163.3
92,80.65,253.8
93,133.63,159.4
94,181.18,358.0
95,108.89,366.7
96,106.24,435.6
97,76.32,239.2
98,90.04,348.3
99,77.81,336.4
100,80.71,271.5
101,140.37,351.0
102,285.17,360.7
103,351.19,293.6
104,196.93,437.7
105,128.98,439.0
106,102.52,283.1
107,88.26,362.3
108,144.14,480.6
109,105.58,286.6
110,75.47,251.7
111,79.4,276.6
112,74.04,268.1
113,68.2,230.3
114,75.1,205.0
115,96.38,196.1
116,77.34,143.6
117,75.29,232.6
118,97.03,343.8
119,122.52,316.9
120,92.63,169.5
121,89.33,234.1
122,106.05,175.5
123,177.53,180.5
124,103.02,159.4
125,85.27,161.8
126,98.65,185.8
127,129.95,183.3
128,153.44,175.7
129,115.91,177.1
130,98.12,234.6
131,137.87,328.4
132,141.59,276.7
133,130.14,284.3
134,96.75,188.7
135,105.39,191.0
136,116.91,163.6
137,121.68,218.2
138,104.4,161.7
139,86.02,175.7
140,143.05,184.2
141,166.67,165.6
142,101.49,288.2
143,108.73,202.0
144,120.78,179.5
145,96.44,218.4
146,113.35,185.2
147,109.7,165.3
148,93.76,205.9
149,95.25,322.8
150,99.37,290.4
151,95.97,225.6
152,89.61,303.7
153,77.47,219.7
154,84.12,453.7
155,78.56,477.7
156,86.14,239.9
157,88.33,342.1
158,77.31,385.7
159,75.04,341.8
160,81.49,350.4
161,89.08,221.5
162,96.03,146.1
163,73.48,247.6
164,100.28,281.0
165,85.36,280.1
166,99.06,274.8
167,102.77,379.7
168,82.99,338.6
169,84.27,235.1
170,105.18,191.6
171,98.28,225.3
172,100.59,196.1
173,152.54,186.4
174,107.86,195.8
175,86.27,175.3
176,89.92,180.6
177,91.1,330.8
178,124.99,356.3
179,87.67,171.3
180,87.02,189.9
181,105.89,207.4
182,105.46,190.4
183,102.37,191.7
184,100.21,328.2
185,115.53,209.3
186,97.03,257.4
187,101.46,181.2
188,113.26,139.3
189,104.08,175.5
190,107.11,198.2
191,108.11,173.0
192,124.21,122.8
193,94.29,161.9
194,76.69,174.7
195,86.64,124.1
196,72.38,171.3
197,97.31,157.1
198,117.94,146.5
199,112.29,180.3
200,132.88,122.7
201,131.63,152.7
202,162.61,179.7
203,109.89,170.3
204,117.53,209.8
205,111.29,145.6
206,135.44,136.5
207,126.24,127.7
208,108.39,137.7
209,174.28,189.3
210,129.45,172.9
211,118.59,149.0
212,107.64,135.5
213,169.7,179.1
214,184.14,165.3
215,134.5,200.3
216,100.12,178.2
217,129.17,213.2
218,155.5,241.2
219,208.95,192.8
220,150.07,319.3
221,149.07,229.2
222,124.58,153.3
223,102.59,202.4
224,126.45,209.1
225,168.7,173.1
226,118.68,276.9
227,143.96,229.5
228,154.6,208.7
229,134.25,244.7
230,221.15,206.3
231,150.2,361.1
232,136.41,387.3
233,134.16,370.5
234,147.23,364.3
235,190.07,330.3
236,135.69,329.1
237,118.81,237.5
238,118.19,236.2
239,120.43,175.2
240,129.6,227.1
241,129.76,165.5
242,139.87,236.2
243,132.07,219.9
244,282.3,165.6
245,294.81,174.8
246,181.96,159.6
247,201.08,203.5
248,1362.78,225.9
249,847.64,135.6
250,387.29,173.5
251,1634.01,195.0
252,1003.98,336.5
253,330.78,291.9
254,480.7,171.2
255,895.0,169.5
256,3326.01,249.2
257,3481.2,146.2
258,4396.98,146.8
259,1690.82,154.0
260,655.39,185.8
261,538.32,224.2
262,1774.28,180.7
263,654.79,147.4
264,303.89,127.1
265,459.79,158.1
266,324.17,173.2
267,246.6,225.3
268,213.69,258.7
269,300.55,355.7
270,337.43,207.0
271,307.01,290.5
272,317.58,282.8
273,393.06,288.2
274,368.63,189.3
275,456.96,198.6
276,576.42,225.1
277,456.21,305.1
278,870.73,235.9
279,645.56,246.4
280,583.13,252.1
281,421.04,292.3
282,388.75,280.0
283,406.5,242.4
284,637.14,286.3
285,449.34,227.1
286,334.71,330.4
287,1780.24,285.1
288,701.84,251.9
289,490.21,238.6
290,352.5,265.3
291,291.56,203.8
292,534.92,382.1
293,636.01,330.3
294,642.66,298.2
295,321.45,349.8
296,425.41,334.2
297,431.59,459.0
298,292.78,258.4
299,418.58,286.1
300,380.48,279.3
301,292.31,509.3
302,382.92,367.6
303,482.26,248.8
304,2490.07,179.7
305,902.4,177.9
306,432.24,472.5
307,335.74,583.5
308,237.0,568.6
309,482.91,232.9
310,315.12,166.3
311,291.38,175.8
312,527.97,155.4
313,297.77,248.3
314,250.94,413.5
315,281.67,293.9
316,357.86,200.0
317,3072.58,166.5
318,982.86,217.4
319,471.81,254.5
320,326.88,231.1
321,279.58,239.6
322,208.73,395.3
323,277.46,328.5
324,658.94,290.5
325,1724.3,266.2
326,1356.64,413.5
327,692.76,364.4
328,372.72,349.7
329,302.55,232.8
330,400.02,272.9
331,1807.14,209.2
332,676.23,196.0
333,426.6,305.2
334,888.3,261.5
335,1008.95,302.3
336,462.95,618.0
337,510.12,695.8
338,401.14,435.7
339,242.92,549.7
340,268.38,542.3
341,439.92,508.3
342,359.92,514.3
343,227.01,1090.5
344,227.54,1303.6
345,491.09,593.7
346,429.41,453.7
347,448.69,461.6
348,2704.6,599.3
349,3173.98,599.2
350,1187.94,443.0
351,651.74,357.8
352,2217.35,378.3
353,1593.04,349.4
354,733.17,412.9
355,372.59,350.8
356,238.9,308.7
357,332.69,372.8
358,327.44,239.8
359,278.52,252.5
360,374.84,244.2
361,360.14,422.0
362,488.37,356.0
363,540.04,467.7
