Date (UK),DAM price,IDM price
01/01/2021 00:00,68,69.18
01/01/2021 01:00,62.7,66.44
01/01/2021 02:00,56,58.26
01/01/2021 03:00,50.1,50.54
01/01/2021 04:00,50,55.71
01/01/2021 05:00,48,54.34
01/01/2021 06:00,50,56.47
01/01/2021 07:00,40,37.25
01/01/2021 08:00,45.9,45.09
01/01/2021 09:00,56.35,43.03
01/01/2021 10:00,60.5,48.36
01/01/2021 11:00,60,56.89
01/01/2021 12:00,67.5,65.71
01/01/2021 13:00,66,69.54
01/01/2021 14:00,66,70.8
01/01/2021 15:00,66.2,78.75
01/01/2021 16:00,86.75,85
01/01/2021 17:00,90,91.84
01/01/2021 18:00,75.2,87.53
01/01/2021 19:00,66.9,78.91
01/01/2021 20:00,62.7,71.01
01/01/2021 21:00,63,64.97
01/01/2021 22:00,50,59.51
01/01/2021 23:00,64.5,54.76
02/01/2021 00:00,64,58.96
02/01/2021 01:00,58,59.19
02/01/2021 02:00,50,55.04
02/01/2021 03:00,50,44.21
02/01/2021 04:00,45.5,46.61
02/01/2021 05:00,45.1,47.83
02/01/2021 06:00,54.8,48.29
02/01/2021 07:00,52.1,45.53
02/01/2021 08:00,58.5,50.71
02/01/2021 09:00,60.95,52.82
02/01/2021 10:00,60.4,51.06
02/01/2021 11:00,61,56.37
02/01/2021 12:00,64.1,62.16
02/01/2021 13:00,64,68.86
02/01/2021 14:00,63,61.32
02/01/2021 15:00,54,61.02
02/01/2021 16:00,75.7,73.4
02/01/2021 17:00,104.6,103.46
02/01/2021 18:00,85.05,88.87
02/01/2021 19:00,70,59.6
02/01/2021 20:00,62,50.4
02/01/2021 21:00,59,59.37
02/01/2021 22:00,51,56.82
02/01/2021 23:00,63,62.27
03/01/2021 00:00,63,61.97
03/01/2021 01:00,62,66.11
03/01/2021 02:00,58,60
03/01/2021 03:00,51.4,49.09
03/01/2021 04:00,45,25
03/01/2021 05:00,44,40.61
03/01/2021 06:00,46.5,47.65
03/01/2021 07:00,41.6,46.21
03/01/2021 08:00,54,48.12
03/01/2021 09:00,60.5,45.52
03/01/2021 10:00,62,49.2
03/01/2021 11:00,60,61.83
03/01/2021 12:00,66,70
03/01/2021 13:00,66,70.3
03/01/2021 14:00,64,59.18
03/01/2021 15:00,55,52.86
03/01/2021 16:00,80,70.15
03/01/2021 17:00,100,82.31
03/01/2021 18:00,77.2,65.3
03/01/2021 19:00,70,62.6
03/01/2021 20:00,59.3,57.55
03/01/2021 21:00,60,58.31
03/01/2021 22:00,50.7,56.57
03/01/2021 23:00,57,51.72
04/01/2021 00:00,57,53.38
04/01/2021 01:00,58,53.59
04/01/2021 02:00,53,54.04
04/01/2021 03:00,42.75,54.64
04/01/2021 04:00,40,53.43
04/01/2021 05:00,51.1,59.85
04/01/2021 06:00,57,59.19
04/01/2021 07:00,58.1,51.31
04/01/2021 08:00,61.2,47.94
04/01/2021 09:00,62,62.29
04/01/2021 10:00,62,62
