Date,EFA,Clearing Price
2023-01-01,1,1.0
2023-01-01,2,1.76
2023-01-01,3,4.0
2023-01-01,4,1.25
2023-01-01,5,2.58
2023-01-01,6,1.0
2023-01-02,1,1.1
2023-01-02,2,5.46
2023-01-02,3,1.1
2023-01-02,4,1.0
2023-01-02,5,2.13
2023-01-02,6,1.66
2023-01-03,1,1.96
2023-01-03,2,5.45
2023-01-03,3,0.8
2023-01-03,4,0.53
2023-01-03,5,0.01
2023-01-03,6,0.8
2023-01-04,1,4.41
2023-01-04,2,12.69
2023-01-04,3,2.1
2023-01-04,4,1.0
2023-01-04,5,0.72
2023-01-04,6,1.87
2023-01-05,1,0.77
2023-01-05,2,1.5
2023-01-05,3,0.52
2023-01-05,4,0.01
2023-01-05,5,0.11
2023-01-05,6,1.0
2023-01-06,1,2.09
2023-01-06,2,9.4
2023-01-06,3,1.48
2023-01-06,4,1.25
2023-01-06,5,2.85
2023-01-06,6,9.3
2023-01-07,1,1.2
2023-01-07,2,5.23
2023-01-07,3,5.57
2023-01-07,4,2.05
2023-01-07,5,1.2
2023-01-07,6,2.05
2023-01-08,1,1.1
2023-01-08,2,4.95
2023-01-08,3,1.57
2023-01-08,4,1.5
2023-01-08,5,1.5
2023-01-08,6,2.05
2023-01-09,1,1.1
2023-01-09,2,1.99
2023-01-09,3,0.57
2023-01-09,4,1.25
2023-01-09,5,1.1
2023-01-09,6,2.05
2023-01-10,1,1.5
2023-01-10,2,4.02
2023-01-10,3,1.08
2023-01-10,4,1.3
2023-01-10,5,0.03
2023-01-10,6,1.94
2023-01-11,1,1.5
2023-01-11,2,10.77
2023-01-11,3,1.28
2023-01-11,4,1.38
2023-01-11,5,0.55
2023-01-11,6,1.94
2023-01-12,1,8.13
2023-01-12,2,18.89
2023-01-12,3,5.95
2023-01-12,4,6.95
2023-01-12,5,1.12
2023-01-12,6,10.25
2023-01-13,1,1.5
2023-01-13,2,15.38
2023-01-13,3,1.46
2023-01-13,4,1.24
2023-01-13,5,0.71
2023-01-13,6,1.24
2023-01-14,1,1.11
2023-01-14,2,7.95
2023-01-14,3,4.52
2023-01-14,4,4.95
