Date,EFA,Clearing Price
2022-01-01,1,16.98
2022-01-01,2,16.98
2022-01-01,3,16.99
2022-01-01,4,47.58
2022-01-01,5,47.99
2022-01-01,6,39.99
2022-01-02,1,7.0
2022-01-02,2,16.98
2022-01-02,3,16.99
2022-01-02,4,47.59
2022-01-02,5,47.99
2022-01-02,6,39.99
2022-01-03,1,16.98
2022-01-03,2,16.98
2022-01-03,3,16.99
2022-01-03,4,16.98
2022-01-03,5,47.99
2022-01-03,6,39.99
2022-01-04,1,7.0
2022-01-04,2,16.6
2022-01-04,3,1.1
2022-01-04,4,1.0
2022-01-04,5,47.99
2022-01-04,6,5.0
2022-01-05,1,7.0
2022-01-05,2,16.98
2022-01-05,3,1.1
2022-01-05,4,2.0
2022-01-05,5,47.31
2022-01-05,6,2.23
2022-01-06,1,2.23
2022-01-06,2,1.0
2022-01-06,3,1.0
2022-01-06,4,1.0
2022-01-06,5,1.1
2022-01-06,6,39.98
2022-01-07,1,1.1
2022-01-07,2,16.7
2022-01-07,3,1.1
2022-01-07,4,0.6
2022-01-07,5,3.0
2022-01-07,6,5.0
2022-01-08,1,1.1
2022-01-08,2,16.7
2022-01-08,3,6.27
2022-01-08,4,0.69
2022-01-08,5,47.98
2022-01-08,6,39.99
2022-01-09,1,0.9
2022-01-09,2,1.0
2022-01-09,3,1.0
2022-01-09,4,1.0
2022-01-09,5,2.03
2022-01-09,6,39.49
2022-01-10,1,0.78
2022-01-10,2,1.0
2022-01-10,3,1.1
2022-01-10,4,0.01
2022-01-10,5,2.9
2022-01-10,6,39.99
2022-01-11,1,2.88
2022-01-11,2,3.0
2022-01-11,3,1.1
2022-01-11,4,1.0
2022-01-11,5,47.34
2022-01-11,6,39.99
2022-01-12,1,2.16
2022-01-12,2,1.0
2022-01-12,3,0.8
2022-01-12,4,0.8
2022-01-12,5,47.07
2022-01-12,6,39.99
2022-01-13,1,2.02
2022-01-13,2,1.0
2022-01-13,3,0.9
2022-01-13,4,2.15
2022-01-13,5,47.19
2022-01-13,6,39.44
2022-01-14,1,0.8
2022-01-14,2,1.07
2022-01-14,3,1.1
2022-01-14,4,2.05
2022-01-14,5,47.21
2022-01-14,6,39.99
2022-01-15,1,0.6
2022-01-15,2,0.9
2022-01-15,3,0.52
2022-01-15,4,0.53
2022-01-15,5,2.72
2022-01-15,6,4.6
2022-01-16,1,0.64
2022-01-16,2,1.0
2022-01-16,3,0.9
2022-01-16,4,0.54
2022-01-16,5,1.98
2022-01-16,6,5.0
2022-01-17,1,1.1
2022-01-17,2,16.0
2022-01-17,3,2.17
2022-01-17,4,0.9
2022-01-17,5,47.28
2022-01-17,6,39.13
2022-01-18,1,0.8
2022-01-18,2,1.0
2022-01-18,3,2.09
2022-01-18,4,0.84
2022-01-18,5,2.06
2022-01-18,6,39.99
2022-01-19,1,1.1
2022-01-19,2,6.06
2022-01-19,3,1.1
2022-01-19,4,1.0
2022-01-19,5,47.39
2022-01-19,6,39.98
2022-01-20,1,1.6
2022-01-20,2,2.0
2022-01-20,3,0.7
2022-01-20,4,0.68
2022-01-20,5,3.0
2022-01-20,6,39.99
2022-01-21,1,0.9
2022-01-21,2,2.0
2022-01-21,3,0.55
2022-01-21,4,0.57
2022-01-21,5,3.0
2022-01-21,6,1.3
2022-01-22,1,0.61
2022-01-22,2,1.0
2022-01-22,3,1.0
2022-01-22,4,1.0
2022-01-22,5,1.2
2022-01-22,6,2.0
2022-01-23,1,0.6
2022-01-23,2,0.98
2022-01-23,3,3.0
2022-01-23,4,0.64
2022-01-23,5,0.98
2022-01-23,6,3.19
2022-01-24,1,2.49
2022-01-24,2,2.0
2022-01-24,3,0.58
2022-01-24,4,0.0
2022-01-24,5,47.25
2022-01-24,6,39.82
2022-01-25,1,0.67
2022-01-25,2,1.0
2022-01-25,3,2.04
2022-01-25,4,1.0
2022-01-25,5,47.22
2022-01-25,6,20.0
2022-01-26,1,1.1
2022-01-26,2,1.0
2022-01-26,3,0.9
2022-01-26,4,0.87
2022-01-26,5,2.36
2022-01-26,6,39.98
2022-01-27,1,6.19
2022-01-27,2,16.98
2022-01-27,3,1.2
2022-01-27,4,2.5
2022-01-27,5,11.72
2022-01-27,6,6.75
2022-01-28,1,3.0
2022-01-28,2,1.0
2022-01-28,3,0.65
2022-01-28,4,3.0
2022-01-28,5,47.98
2022-01-28,6,39.98
2022-01-29,1,16.98
2022-01-29,2,16.98
2022-01-29,3,16.98
2022-01-29,4,47.98
2022-01-29,5,47.98
2022-01-29,6,39.98
2022-01-30,1,1.08
2022-01-30,2,0.85
2022-01-30,3,1.05
2022-01-30,4,3.0
2022-01-30,5,6.32
2022-01-30,6,39.98
2022-01-31,1,16.98
2022-01-31,2,16.98
2022-01-31,3,16.98
2022-01-31,4,3.0
2022-01-31,5,47.98
2022-01-31,6,39.98
2022-02-01,1,16.98
2022-02-01,2,16.98
2022-02-01,3,11.46
2022-02-01,4,5.1
2022-02-01,5,47.98
2022-02-01,6,39.98
2022-02-02,1,5.31
2022-02-02,2,5.44
2022-02-02,3,2.02
2022-02-02,4,2.95
2022-02-02,5,2.95
2022-02-02,6,3.7
2022-02-03,1,2.95
2022-02-03,2,16.8
2022-02-03,3,2.53
2022-02-03,4,2.95
2022-02-03,5,47.98
2022-02-03,6,39.98
2022-02-04,1,3.0
2022-02-04,2,7.97
2022-02-04,3,3.0
2022-02-04,4,4.11
2022-02-04,5,6.6
2022-02-04,6,39.98
2022-02-05,1,2.95
2022-02-05,2,16.98
2022-02-05,3,16.98
2022-02-05,4,47.98
2022-02-05,5,47.98
2022-02-05,6,39.98
2022-02-06,1,16.98
2022-02-06,2,16.98
2022-02-06,3,16.98
2022-02-06,4,47.98
2022-02-06,5,47.98
2022-02-06,6,39.98
2022-02-07,1,16.6
2022-02-07,2,3.0
2022-02-07,3,1.6
2022-02-07,4,2.95
2022-02-07,5,47.98
2022-02-07,6,39.98
2022-02-08,1,16.98
2022-02-08,2,16.98
2022-02-08,3,2.0
2022-02-08,4,2.95
2022-02-08,5,11.05
2022-02-08,6,39.98
2022-02-09,1,16.98
2022-02-09,2,16.98
2022-02-09,3,1.2
2022-02-09,4,2.95
2022-02-09,5,2.95
2022-02-09,6,39.98
2022-02-10,1,16.98
2022-02-10,2,16.98
2022-02-10,3,2.85
2022-02-10,4,47.98
2022-02-10,5,47.98
2022-02-10,6,6.75
2022-02-11,1,1.2
2022-02-11,2,2.0
2022-02-11,3,1.2
2022-02-11,4,2.95
2022-02-11,5,2.95
2022-02-11,6,39.98
2022-02-12,1,16.98
2022-02-12,2,16.98
2022-02-12,3,16.98
2022-02-12,4,47.98
2022-02-12,5,47.98
2022-02-12,6,39.98
2022-02-13,1,16.98
2022-02-13,2,16.98
2022-02-13,3,17.0
2022-02-13,4,1.1
2022-02-13,5,47.98
2022-02-13,6,39.98
2022-02-14,1,16.8
2022-02-14,2,16.8
2022-02-14,3,0.9
2022-02-14,4,2.41
2022-02-14,5,47.24
2022-02-14,6,39.56
2022-02-15,1,16.94
2022-02-15,2,16.9
2022-02-15,3,4.4
2022-02-15,4,47.3
2022-02-15,5,47.02
2022-02-15,6,39.08
2022-02-16,1,16.98
2022-02-16,2,16.98
2022-02-16,3,16.98
2022-02-16,4,47.98
2022-02-16,5,47.98
2022-02-16,6,39.98
2022-02-17,1,16.98
2022-02-17,2,16.98
2022-02-17,3,16.98
2022-02-17,4,47.98
2022-02-17,5,47.98
2022-02-17,6,39.98
2022-02-18,1,5.5
2022-02-18,2,16.98
2022-02-18,3,16.98
2022-02-18,4,47.98
2022-02-18,5,47.98
2022-02-18,6,39.98
2022-02-19,1,16.98
2022-02-19,2,16.98
2022-02-19,3,16.17
2022-02-19,4,2.95
2022-02-19,5,47.98
2022-02-19,6,39.98
2022-02-20,1,16.98
2022-02-20,2,16.98
2022-02-20,3,16.98
2022-02-20,4,47.98
2022-02-20,5,47.98
2022-02-20,6,39.98
2022-02-21,1,16.98
2022-02-21,2,16.98
2022-02-21,3,16.98
2022-02-21,4,47.98
2022-02-21,5,47.98
2022-02-21,6,39.98
2022-02-22,1,16.98
2022-02-22,2,16.98
2022-02-22,3,16.98
2022-02-22,4,47.98
2022-02-22,5,47.98
2022-02-22,6,39.98
2022-02-23,1,16.98
2022-02-23,2,16.98
2022-02-23,3,16.98
2022-02-23,4,47.98
2022-02-23,5,47.98
2022-02-23,6,39.98
2022-02-24,1,16.98
2022-02-24,2,16.98
2022-02-24,3,16.98
2022-02-24,4,47.98
2022-02-24,5,47.98
2022-02-24,6,39.98
2022-02-25,1,16.98
2022-02-25,2,16.98
2022-02-25,3,5.0
2022-02-25,4,5.0
2022-02-25,5,47.98
2022-02-25,6,39.98
2022-02-26,1,2.96
2022-02-26,2,16.98
2022-02-26,3,16.98
2022-02-26,4,47.98
2022-02-26,5,47.98
2022-02-26,6,39.98
2022-02-27,1,16.98
2022-02-27,2,16.98
2022-02-27,3,16.98
2022-02-27,4,47.98
