Company,Unit Name ( website),Unit (NESO),Installed capacity (MW)
EDF,Bustleholm Battery,BUSTB-1,52
EDF,Cowley Battery,COWB-1,50
EDF,Kemsley Battery,KEMB-1,50
EDF,Coventry Battery,COVNB-1,52
EDF,Tye Lane Battery,TYLNB-1,57
Centrica,Roosecote Battery,ROOSB-1,50
Conrad Energy,Swindon Battery,SWDN-1,18
Conrad Energy,Blackpool Battery,BLKB-1,25
Conrad Energy,Midsomer Battery,MDSM-1,6
Conrad Energy,Torquay Battery,TORQ-1,22
Conrad Energy,Winchester Battery,WNCHB-1,19
Ecotricity,Alveston Battery,ALVB-1,24
Gore Street,Breach Farm Battery,GSET-02,10
Gore Street,Hulley Road Battery,GSET-04,20
Gore Street,Larport Battery,GSET-03,19.5
Gore Street,Port of Tilbury,GSET-01,9
Gore Street,Lascar ,GSET-05,20
Gore Street,Cenin,GSET-06,4
Scottish Power,Whitelee Battery,WHLWB-1,50
