registeredAuctionParticipant,auctionUnit,serviceType,auctionProduct,Installed capacity (MW),Delivery capacity (MW),clearingPrice,deliveryStart,deliveryEnd,Delivery date,EFA block of the day 
CENTRICA BUSINESS SOLUTIONS UK OPTIMISATION LIMITED,ROOSB-1,Response,DCH,50,49,3.86,2023-11-02T23:00:00,2023-11-03T03:00:00,,
CENTRICA BUSINESS SOLUTIONS UK OPTIMISATION LIMITED,ROOSB-1,Response,DCH,50,49,2.15,2023-11-03T23:00:00,2023-11-04T03:00:00,,
CENTRICA BUSINESS SOLUTIONS UK OPTIMISATION LIMITED,ROOSB-1,Response,DCH,50,49,3.29,2023-11-04T03:00:00,2023-11-04T07:00:00,,
CENTRICA BUSINESS SOLUTIONS UK OPTIMISATION LIMITED,ROOSB-1,Response,DCH,50,49,2.55,2023-11-05T23:00:00,2023-11-06T03:00:00,,
CENTRICA BUSINESS SOLUTIONS UK OPTIMISATION LIMITED,ROOSB-1,Response,DCH,50,49,1.98,2023-11-20T03:00:00,2023-11-20T07:00:00,,
CENTRICA BUSINESS SOLUTIONS UK OPTIMISATION LIMITED,ROOSB-1,Response,DCH,50,48,4.4,2023-11-06T03:00:00,2023-11-06T07:00:00,,
CENTRICA BUSINESS SOLUTIONS UK OPTIMISATION LIMITED,ROOSB-1,Response,DCH,50,48,2.12,2023-11-19T23:00:00,2023-11-20T03:00:00,,
CENTRICA BUSINESS SOLUTIONS UK OPTIMISATION LIMITED,ROOSB-1,Response,DCH,50,47,1.2,2023-11-19T15:00:00,2023-11-19T19:00:00,,
CENTRICA BUSINESS SOLUTIONS UK OPTIMISATION LIMITED,ROOSB-1,Response,DCL,50,46,4.02,2023-11-06T15:00:00,2023-11-06T19:00:00,,
CENTRICA BUSINESS SOLUTIONS UK OPTIMISATION LIMITED,ROOSB-1,Response,DCL,50,45,3.25,2023-11-03T15:00:00,2023-11-03T19:00:00,,
CENTRICA BUSINESS SOLUTIONS UK OPTIMISATION LIMITED,ROOSB-1,Response,DCL,50,45,2.28,2023-11-03T07:00:00,2023-11-03T11:00:00,,
CENTRICA BUSINESS SOLUTIONS UK OPTIMISATION LIMITED,ROOSB-1,Response,DCL,50,45,1.36,2023-11-03T11:00:00,2023-11-03T15:00:00,,
