registeredAuctionParticipant,auctionUnit,serviceType,auctionProduct,Installed capacity (MW),Delivery capacity (MW),clearingPrice,deliveryStart,deliveryEnd,Delivery date,EFA block of the day 
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCH,25,24,3.09,2025-02-23T03:00:00,2025-02-23T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCL,25,24,8.58,2025-02-23T15:00:00,2025-02-23T19:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCH,25,24,3.4,2025-02-23T11:00:00,2025-02-23T15:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCH,25,24,1.82,2025-02-23T19:00:00,2025-02-23T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCH,25,24,1.25,2025-02-22T23:00:00,2025-02-23T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCL,25,24,4.5,2025-02-23T03:00:00,2025-02-23T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCL,25,24,6.19,2025-02-23T11:00:00,2025-02-23T15:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCH,25,24,2.35,2025-02-23T07:00:00,2025-02-23T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCH,25,24,4.69,2025-02-23T15:00:00,2025-02-23T19:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCL,25,24,6.84,2025-02-23T19:00:00,2025-02-23T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCL,25,24,8.53,2025-02-22T23:00:00,2025-02-23T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCL,25,24,5.5,2025-02-23T07:00:00,2025-02-23T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCL,25,24,6.5,2025-03-01T11:00:00,2025-03-01T15:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCH,25,24,1.44,2025-03-01T03:00:00,2025-03-01T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCH,25,24,1.14,2025-03-01T11:00:00,2025-03-01T15:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCL,25,24,3.78,2025-03-01T19:00:00,2025-03-01T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCL,25,24,3.25,2025-02-28T23:00:00,2025-03-01T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCH,25,24,1.2,2025-03-01T19:00:00,2025-03-01T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCL,25,24,4,2025-03-01T07:00:00,2025-03-01T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCH,25,24,1.2,2025-02-28T23:00:00,2025-03-01T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,BLKB-1,Response,DCL,25,24,7.15,2025-03-01T15:00:00,2025-03-01T19:00:00,,
