registeredAuctionParticipant,auctionUnit,serviceType,auctionProduct,Delivery capacity (MW),clearingPrice,deliveryStart,deliveryEnd,Delivery date,EFA block of the day 
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,2.47,2025-02-01T11:00:00,2025-02-01T15:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,2.22,2025-02-01T07:00:00,2025-02-01T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,2.11,2025-02-01T03:00:00,2025-02-01T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,2.81,2025-02-01T11:00:00,2025-02-01T15:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,0.9,2025-01-31T23:00:00,2025-02-01T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,3.42,2025-02-01T07:00:00,2025-02-01T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,3.2,2025-02-01T19:00:00,2025-02-01T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,4.25,2025-02-01T03:00:00,2025-02-01T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,0.75,2025-02-01T15:00:00,2025-02-01T19:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,3.76,2025-01-31T23:00:00,2025-02-01T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,3,2025-02-01T19:00:00,2025-02-01T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,4.65,2025-02-01T15:00:00,2025-02-01T19:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,3.27,2025-02-02T03:00:00,2025-02-02T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,4.5,2025-02-02T03:00:00,2025-02-02T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,3.25,2025-02-02T19:00:00,2025-02-02T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,2.29,2025-02-02T11:00:00,2025-02-02T15:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,2.31,2025-02-01T23:00:00,2025-02-02T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,1.2,2025-02-02T19:00:00,2025-02-02T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,2,2025-02-02T07:00:00,2025-02-02T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,4,2025-02-01T23:00:00,2025-02-02T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,4.25,2025-02-02T15:00:00,2025-02-02T19:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,3.96,2025-02-02T07:00:00,2025-02-02T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,0.85,2025-02-02T15:00:00,2025-02-02T19:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,2,2025-02-02T11:00:00,2025-02-02T15:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,5.69,2025-02-08T07:00:00,2025-02-08T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,1.59,2025-02-08T03:00:00,2025-02-08T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,1.59,2025-02-08T19:00:00,2025-02-08T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,2.3,2025-02-08T11:00:00,2025-02-08T15:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,2.17,2025-02-08T07:00:00,2025-02-08T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,3,2025-02-07T23:00:00,2025-02-08T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,1.48,2025-02-08T15:00:00,2025-02-08T19:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,0.92,2025-02-08T11:00:00,2025-02-08T15:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,4.69,2025-02-08T03:00:00,2025-02-08T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,5.69,2025-02-07T23:00:00,2025-02-08T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,2.3,2025-02-08T19:00:00,2025-02-08T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,4.3,2025-02-08T15:00:00,2025-02-08T19:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,5.13,2025-02-10T15:00:00,2025-02-10T19:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,1.3,2025-02-10T07:00:00,2025-02-10T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,3.48,2025-02-10T15:00:00,2025-02-10T19:00:00,,
