registeredAuctionParticipant,auctionUnit,serviceType,auctionProduct,executedQuantity,clearingPrice,deliveryStart,deliveryEnd,Delivery date,EFA block of the day 
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,1.5,2024-12-24T23:00:00,2024-12-25T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCH,22,1.52,2024-12-24T23:00:00,2024-12-25T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,3.26,2024-12-25T03:00:00,2024-12-25T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCH,22,3.49,2024-12-25T03:00:00,2024-12-25T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,6.69,2024-12-25T07:00:00,2024-12-25T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCH,22,2,2024-12-25T07:00:00,2024-12-25T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,6.69,2024-12-25T11:00:00,2024-12-25T15:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,4.69,2024-12-25T15:00:00,2024-12-25T19:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,4.69,2024-12-25T19:00:00,2024-12-25T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCH,22,1,2024-12-25T19:00:00,2024-12-25T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCH,22,2,2024-12-25T23:00:00,2024-12-26T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,1,2024-12-25T23:00:00,2024-12-26T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCH,22,2.49,2024-12-26T03:00:00,2024-12-26T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,2.3,2024-12-26T03:00:00,2024-12-26T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,2.92,2024-12-26T07:00:00,2024-12-26T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,2,2024-12-26T11:00:00,2024-12-26T15:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,4,2024-12-26T15:00:00,2024-12-26T19:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,2.83,2024-12-26T19:00:00,2024-12-26T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCH,22,1.69,2024-12-26T19:00:00,2024-12-26T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,1.5,2024-12-26T23:00:00,2024-12-27T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCH,22,1.69,2024-12-26T23:00:00,2024-12-27T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,1.44,2024-12-27T03:00:00,2024-12-27T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCH,22,4.69,2024-12-27T03:00:00,2024-12-27T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,2.33,2024-12-27T07:00:00,2024-12-27T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCH,22,2.4,2024-12-27T07:00:00,2024-12-27T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,1.53,2024-12-27T11:00:00,2024-12-27T15:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCH,22,1.64,2024-12-27T11:00:00,2024-12-27T15:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,4.43,2024-12-27T15:00:00,2024-12-27T19:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,1.92,2024-12-27T19:00:00,2024-12-27T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCH,22,1.11,2024-12-27T19:00:00,2024-12-27T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCH,22,1,2024-12-27T23:00:00,2024-12-28T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,1.5,2024-12-27T23:00:00,2024-12-28T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,1.67,2024-12-28T03:00:00,2024-12-28T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCH,22,4,2024-12-28T03:00:00,2024-12-28T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,1.71,2024-12-28T07:00:00,2024-12-28T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCH,22,3.01,2024-12-28T07:00:00,2024-12-28T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,1.31,2024-12-28T11:00:00,2024-12-28T15:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCH,22,2.04,2024-12-28T11:00:00,2024-12-28T15:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,2.5,2024-12-28T15:00:00,2024-12-28T19:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,2.75,2024-12-28T19:00:00,2024-12-28T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCH,22,1.89,2024-12-28T19:00:00,2024-12-28T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,2.25,2024-12-28T23:00:00,2024-12-29T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,2.25,2024-12-29T03:00:00,2024-12-29T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCH,22,4.5,2024-12-29T03:00:00,2024-12-29T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCH,22,2.96,2024-12-29T07:00:00,2024-12-29T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,9.69,2024-12-29T07:00:00,2024-12-29T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,3.24,2024-12-29T11:00:00,2024-12-29T15:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCH,22,4.5,2024-12-29T11:00:00,2024-12-29T15:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,5.51,2024-12-29T15:00:00,2024-12-29T19:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCH,22,2.14,2024-12-29T19:00:00,2024-12-29T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,3.36,2024-12-29T19:00:00,2024-12-29T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,1,2024-12-29T23:00:00,2024-12-30T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCH,22,2.24,2024-12-29T23:00:00,2024-12-30T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCH,22,7.47,2024-12-30T03:00:00,2024-12-30T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,3.23,2024-12-30T03:00:00,2024-12-30T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCH,22,3,2024-12-30T07:00:00,2024-12-30T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,2.54,2024-12-30T07:00:00,2024-12-30T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,1.73,2024-12-30T11:00:00,2024-12-30T15:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCH,22,1.74,2024-12-30T11:00:00,2024-12-30T15:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCH,22,1.7,2024-12-30T15:00:00,2024-12-30T19:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,5.5,2024-12-30T15:00:00,2024-12-30T19:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,4,2024-12-30T19:00:00,2024-12-30T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCH,22,1.51,2024-12-30T19:00:00,2024-12-30T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,4,2024-12-30T23:00:00,2024-12-31T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCH,22,1.75,2024-12-30T23:00:00,2024-12-31T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCH,22,6.69,2024-12-31T03:00:00,2024-12-31T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,4.69,2024-12-31T03:00:00,2024-12-31T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,4.69,2024-12-31T07:00:00,2024-12-31T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCH,22,2.2,2024-12-31T07:00:00,2024-12-31T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCH,22,4,2024-12-31T11:00:00,2024-12-31T15:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,2.14,2024-12-31T11:00:00,2024-12-31T15:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCH,22,4.69,2024-12-31T15:00:00,2024-12-31T19:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,6.08,2024-12-31T15:00:00,2024-12-31T19:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,4.4,2024-12-31T19:00:00,2024-12-31T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCH,22,1.51,2024-12-31T19:00:00,2024-12-31T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,2.25,2025-01-01T07:00:00,2025-01-01T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCH,22,4.6,2025-01-01T11:00:00,2025-01-01T15:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,6.25,2025-01-01T15:00:00,2025-01-01T19:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCH,22,2,2025-01-01T19:00:00,2025-01-01T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCH,22,3,2024-12-31T23:00:00,2025-01-01T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,3.96,2025-01-01T03:00:00,2025-01-01T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,2.14,2025-01-01T11:00:00,2025-01-01T15:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCH,22,2.5,2025-01-01T07:00:00,2025-01-01T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCH,22,1.75,2025-01-01T15:00:00,2025-01-01T19:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,3.34,2025-01-01T19:00:00,2025-01-01T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,2.5,2024-12-31T23:00:00,2025-01-01T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCH,22,4.5,2025-01-01T03:00:00,2025-01-01T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,4.69,2025-01-02T03:00:00,2025-01-02T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCH,22,4,2025-01-01T23:00:00,2025-01-02T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCH,22,3.48,2025-01-02T07:00:00,2025-01-02T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,2,2025-01-02T11:00:00,2025-01-02T15:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,2.5,2025-01-02T19:00:00,2025-01-02T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,2,2025-01-01T23:00:00,2025-01-02T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCH,22,5.5,2025-01-02T03:00:00,2025-01-02T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,3.61,2025-01-02T07:00:00,2025-01-02T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,5.3,2025-01-02T15:00:00,2025-01-02T19:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCH,22,2,2025-01-02T11:00:00,2025-01-02T15:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCH,22,2.48,2025-01-02T19:00:00,2025-01-02T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,3.13,2025-01-03T11:00:00,2025-01-03T15:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,4.69,2025-01-03T07:00:00,2025-01-03T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCH,22,6,2025-01-03T03:00:00,2025-01-03T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCH,22,2.75,2025-01-02T23:00:00,2025-01-03T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCH,22,9.69,2025-01-03T15:00:00,2025-01-03T19:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,4.27,2025-01-03T03:00:00,2025-01-03T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,1.75,2025-01-02T23:00:00,2025-01-03T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,3.25,2025-01-03T19:00:00,2025-01-03T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,13.37,2025-01-03T15:00:00,2025-01-03T19:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,1.54,2025-01-11T11:00:00,2025-01-11T15:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCH,22,1.25,2025-01-11T11:00:00,2025-01-11T15:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,10.17,2025-01-11T15:00:00,2025-01-11T19:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCH,22,1.75,2025-01-10T23:00:00,2025-01-11T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,1.6,2025-01-11T03:00:00,2025-01-11T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,3.17,2025-01-11T19:00:00,2025-01-11T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCH,22,2.49,2025-01-11T03:00:00,2025-01-11T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,2.29,2025-01-11T07:00:00,2025-01-11T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,1.25,2025-01-12T11:00:00,2025-01-12T15:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCH,22,1.6,2025-01-12T07:00:00,2025-01-12T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,3.02,2025-01-12T19:00:00,2025-01-12T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,1.85,2025-01-11T23:00:00,2025-01-12T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCH,22,3,2025-01-12T03:00:00,2025-01-12T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,1.51,2025-01-12T07:00:00,2025-01-12T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,4.07,2025-01-12T15:00:00,2025-01-12T19:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCH,22,1.65,2025-01-12T11:00:00,2025-01-12T15:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCH,22,1.44,2025-01-12T19:00:00,2025-01-12T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,1.25,2025-01-12T03:00:00,2025-01-12T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,1.33,2025-01-12T23:00:00,2025-01-13T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,4.5,2025-01-13T07:00:00,2025-01-13T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCH,22,2.5,2025-01-13T03:00:00,2025-01-13T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,4.23,2025-01-13T15:00:00,2025-01-13T19:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCH,22,1.88,2025-01-13T19:00:00,2025-01-13T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCL,22,1.54,2025-01-13T03:00:00,2025-01-13T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,TORQ-1,Response,DCH,22,1.7,2025-01-12T23:00:00,2025-01-13T03:00:00,,
