registeredAuctionParticipant,auctionUnit,serviceType,auctionProduct,Delivery capacity (MW),clearingPrice,deliveryStart,deliveryEnd,Delivery date,EFA block of the day 
CONRAD ENERGY (TRADING) LIMITED,WNCHB-1,Response,DCH,19,1.77,2024-12-23T23:00:00,2024-12-24T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,WNCHB-1,Response,DCL,19,1.83,2024-12-23T23:00:00,2024-12-24T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,WNCHB-1,Response,DCL,19,2.18,2024-12-24T03:00:00,2024-12-24T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,WNCHB-1,Response,DCH,19,4,2024-12-24T03:00:00,2024-12-24T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,WNCHB-1,Response,DCL,19,5,2024-12-24T07:00:00,2024-12-24T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,WNCHB-1,Response,DCH,19,1.82,2024-12-24T07:00:00,2024-12-24T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,WNCHB-1,Response,DCL,19,1.78,2024-12-24T11:00:00,2024-12-24T15:00:00,,
CONRAD ENERGY (TRADING) LIMITED,WNCHB-1,Response,DCH,19,1.44,2024-12-24T11:00:00,2024-12-24T15:00:00,,
CONRAD ENERGY (TRADING) LIMITED,WNCHB-1,Response,DCL,19,5.1,2024-12-24T15:00:00,2024-12-24T19:00:00,,
CONRAD ENERGY (TRADING) LIMITED,WNCHB-1,Response,DCH,19,1,2024-12-24T15:00:00,2024-12-24T19:00:00,,
CONRAD ENERGY (TRADING) LIMITED,WNCHB-1,Response,DCL,19,4,2024-12-24T19:00:00,2024-12-24T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,WNCHB-1,Response,DCH,19,1,2024-12-24T19:00:00,2024-12-24T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,WNCHB-1,Response,DCH,19,3.49,2024-12-25T03:00:00,2024-12-25T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,WNCHB-1,Response,DCL,19,3.26,2024-12-25T03:00:00,2024-12-25T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,WNCHB-1,Response,DCL,19,6.69,2024-12-25T07:00:00,2024-12-25T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,WNCHB-1,Response,DCL,19,6.69,2024-12-25T11:00:00,2024-12-25T15:00:00,,
CONRAD ENERGY (TRADING) LIMITED,WNCHB-1,Response,DCL,19,4.69,2024-12-25T15:00:00,2024-12-25T19:00:00,,
CONRAD ENERGY (TRADING) LIMITED,WNCHB-1,Response,DCL,19,4.69,2024-12-25T19:00:00,2024-12-25T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,WNCHB-1,Response,DCL,19,2.92,2024-12-26T07:00:00,2024-12-26T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,WNCHB-1,Response,DCL,19,4,2024-12-26T15:00:00,2024-12-26T19:00:00,,
CONRAD ENERGY (TRADING) LIMITED,WNCHB-1,Response,DCL,19,2.83,2024-12-26T19:00:00,2024-12-26T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,WNCHB-1,Response,DCH,19,4.69,2024-12-27T03:00:00,2024-12-27T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,WNCHB-1,Response,DCL,19,4.43,2024-12-27T15:00:00,2024-12-27T19:00:00,,
CONRAD ENERGY (TRADING) LIMITED,WNCHB-1,Response,DCH,19,4,2024-12-28T03:00:00,2024-12-28T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,WNCHB-1,Response,DCH,19,3.01,2024-12-28T07:00:00,2024-12-28T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,WNCHB-1,Response,DCL,19,2.5,2024-12-28T15:00:00,2024-12-28T19:00:00,,
CONRAD ENERGY (TRADING) LIMITED,WNCHB-1,Response,DCL,19,2.75,2024-12-28T19:00:00,2024-12-28T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,WNCHB-1,Response,DCH,19,4.5,2024-12-29T03:00:00,2024-12-29T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,WNCHB-1,Response,DCL,19,9.69,2024-12-29T07:00:00,2024-12-29T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,WNCHB-1,Response,DCH,19,2.96,2024-12-29T07:00:00,2024-12-29T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,WNCHB-1,Response,DCH,19,4.5,2024-12-29T11:00:00,2024-12-29T15:00:00,,
CONRAD ENERGY (TRADING) LIMITED,WNCHB-1,Response,DCL,19,3.24,2024-12-29T11:00:00,2024-12-29T15:00:00,,
CONRAD ENERGY (TRADING) LIMITED,WNCHB-1,Response,DCL,19,5.51,2024-12-29T15:00:00,2024-12-29T19:00:00,,
CONRAD ENERGY (TRADING) LIMITED,WNCHB-1,Response,DCL,19,3.36,2024-12-29T19:00:00,2024-12-29T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,WNCHB-1,Response,DCL,19,3.23,2024-12-30T03:00:00,2024-12-30T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,WNCHB-1,Response,DCH,19,7.47,2024-12-30T03:00:00,2024-12-30T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,WNCHB-1,Response,DCH,19,3,2024-12-30T07:00:00,2024-12-30T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,WNCHB-1,Response,DCL,19,2.54,2024-12-30T07:00:00,2024-12-30T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,WNCHB-1,Response,DCL,19,5.5,2024-12-30T15:00:00,2024-12-30T19:00:00,,
CONRAD ENERGY (TRADING) LIMITED,WNCHB-1,Response,DCL,19,4,2024-12-30T19:00:00,2024-12-30T23:00:00,,
