registeredAuctionParticipant,auctionUnit,serviceType,auctionProduct,Installed capacity (MW),delivery capacity (MW),clearingPrice,deliveryStart,deliveryEnd,Delivery date,EFA block of the day 
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRH,52,22,2.75,2023-11-02T23:00:00,2023-11-03T03:00:00,03/11/2023,1
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRL,52,18,3.33,2023-11-02T23:00:00,2023-11-03T03:00:00,03/11/2023,1
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRH,52,23,4.04,2023-11-03T03:00:00,2023-11-03T07:00:00,03/11/2023,2
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRL,52,18,5.79,2023-11-03T03:00:00,2023-11-03T07:00:00,03/11/2023,2
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRH,52,28,-3.3,2023-11-03T07:00:00,2023-11-03T11:00:00,03/11/2023,3
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRL,52,19,13.3,2023-11-03T07:00:00,2023-11-03T11:00:00,03/11/2023,3
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRH,52,28,-3.53,2023-11-03T11:00:00,2023-11-03T15:00:00,03/11/2023,4
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRL,52,18,9.53,2023-11-03T11:00:00,2023-11-03T15:00:00,03/11/2023,4
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRH,52,28,-5.81,2023-11-03T15:00:00,2023-11-03T19:00:00,03/11/2023,5
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRL,52,19,15.6,2023-11-03T15:00:00,2023-11-03T19:00:00,03/11/2023,5
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRH,52,28,-4.5,2023-11-03T19:00:00,2023-11-03T23:00:00,03/11/2023,6
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRL,52,19,12.81,2023-11-03T19:00:00,2023-11-03T23:00:00,03/11/2023,6
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRH,52,21,-7.84,2023-11-03T23:00:00,2023-11-04T03:00:00,04/11/2023,1
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRL,52,19,11.42,2023-11-03T23:00:00,2023-11-04T03:00:00,04/11/2023,1
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRH,52,21,-4.09,2023-11-04T03:00:00,2023-11-04T07:00:00,04/11/2023,2
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRL,52,19,9.48,2023-11-04T03:00:00,2023-11-04T07:00:00,04/11/2023,2
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRH,52,28,-5.85,2023-11-04T07:00:00,2023-11-04T11:00:00,04/11/2023,3
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRL,52,19,10.76,2023-11-04T07:00:00,2023-11-04T11:00:00,04/11/2023,3
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRH,52,28,-4.98,2023-11-04T11:00:00,2023-11-04T15:00:00,04/11/2023,4
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRL,52,19,10.3,2023-11-04T11:00:00,2023-11-04T15:00:00,04/11/2023,4
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRH,52,28,-6.52,2023-11-04T15:00:00,2023-11-04T19:00:00,04/11/2023,5
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRL,52,19,16.3,2023-11-04T15:00:00,2023-11-04T19:00:00,04/11/2023,5
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRH,52,28,-6.64,2023-11-04T19:00:00,2023-11-04T23:00:00,04/11/2023,6
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRL,52,19,12,2023-11-04T19:00:00,2023-11-04T23:00:00,04/11/2023,6
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRH,52,21,-5.4,2023-11-04T23:00:00,2023-11-05T03:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRL,52,19,10.54,2023-11-04T23:00:00,2023-11-05T03:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRH,52,21,-3.65,2023-11-05T03:00:00,2023-11-05T07:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRL,52,19,9.48,2023-11-05T03:00:00,2023-11-05T07:00:00,,
EDF ENERGY CUSTOMERS LIMITED,BUSTB-1,Response,DRH,52,28,-5.68,2023-11-05T07:00:00,2023-11-05T11:00:00,,
