registeredAuctionParticipant,auctionUnit,serviceType,auctionProduct,Installed capacity (MW),Delivery capacity (MW),clearingPrice,deliveryStart,deliveryEnd,Delivery date ,EFA block of the day 
EDF ENERGY CUSTOMERS LIMITED,COVNB-1,Quick Reserve,NQR,52,49,5.25,2024-12-04T21:30:00,2024-12-04T22:00:00,,
EDF ENERGY CUSTOMERS LIMITED,COVNB-1,Quick Reserve,PQR,52,49,11,2024-12-04T13:00:00,2024-12-04T13:30:00,,
EDF ENERGY CUSTOMERS LIMITED,COVNB-1,Quick Reserve,PQR,52,49,5.25,2024-12-04T03:00:00,2024-12-04T03:30:00,,
EDF ENERGY CUSTOMERS LIMITED,COVNB-1,Quick Reserve,NQR,52,49,5.25,2024-12-04T19:00:00,2024-12-04T19:30:00,,
EDF ENERGY CUSTOMERS LIMITED,COVNB-1,Quick Reserve,PQR,52,49,7.5,2024-12-03T23:00:00,2024-12-03T23:30:00,,
EDF ENERGY CUSTOMERS LIMITED,COVNB-1,Quick Reserve,PQR,52,49,1.09,2024-12-04T03:30:00,2024-12-04T04:00:00,,
EDF ENERGY CUSTOMERS LIMITED,COVNB-1,Quick Reserve,NQR,52,49,5.25,2024-12-04T19:30:00,2024-12-04T20:00:00,,
EDF ENERGY CUSTOMERS LIMITED,COVNB-1,Quick Reserve,PQR,52,49,6,2024-12-04T05:30:00,2024-12-04T06:00:00,,
EDF ENERGY CUSTOMERS LIMITED,COVNB-1,Quick Reserve,PQR,52,49,9.68,2024-12-04T12:00:00,2024-12-04T12:30:00,,
EDF ENERGY CUSTOMERS LIMITED,COVNB-1,Quick Reserve,PQR,52,49,7.82,2024-12-04T06:30:00,2024-12-04T07:00:00,,
EDF ENERGY CUSTOMERS LIMITED,COVNB-1,Quick Reserve,NQR,52,49,4.25,2024-12-04T22:30:00,2024-12-04T23:00:00,,
EDF ENERGY CUSTOMERS LIMITED,COVNB-1,Quick Reserve,PQR,52,49,10.13,2024-12-04T12:30:00,2024-12-04T13:00:00,,
EDF ENERGY CUSTOMERS LIMITED,COVNB-1,Quick Reserve,PQR,52,49,7.5,2024-12-04T02:30:00,2024-12-04T03:00:00,,
EDF ENERGY CUSTOMERS LIMITED,COVNB-1,Quick Reserve,PQR,52,49,6.91,2024-12-04T14:30:00,2024-12-04T15:00:00,,
EDF ENERGY CUSTOMERS LIMITED,COVNB-1,Quick Reserve,PQR,52,49,0.75,2024-12-04T04:30:00,2024-12-04T05:00:00,,
EDF ENERGY CUSTOMERS LIMITED,COVNB-1,Quick Reserve,NQR,52,49,5.75,2024-12-04T20:30:00,2024-12-04T21:00:00,,
EDF ENERGY CUSTOMERS LIMITED,COVNB-1,Quick Reserve,PQR,52,49,10.7,2024-12-04T00:30:00,2024-12-04T01:00:00,,
EDF ENERGY CUSTOMERS LIMITED,COVNB-1,Quick Reserve,PQR,52,49,0.72,2024-12-04T05:00:00,2024-12-04T05:30:00,,
EDF ENERGY CUSTOMERS LIMITED,COVNB-1,Quick Reserve,PQR,52,49,9.23,2024-12-04T11:30:00,2024-12-04T12:00:00,,
EDF ENERGY CUSTOMERS LIMITED,COVNB-1,Quick Reserve,PQR,52,49,8.57,2024-12-04T01:30:00,2024-12-04T02:00:00,,
EDF ENERGY CUSTOMERS LIMITED,COVNB-1,Quick Reserve,PQR,52,49,7.82,2024-12-04T06:00:00,2024-12-04T06:30:00,,
EDF ENERGY CUSTOMERS LIMITED,COVNB-1,Quick Reserve,NQR,52,49,5.02,2024-12-04T22:00:00,2024-12-04T22:30:00,,
EDF ENERGY CUSTOMERS LIMITED,COVNB-1,Quick Reserve,PQR,52,49,7.57,2024-12-04T02:00:00,2024-12-04T02:30:00,,
EDF ENERGY CUSTOMERS LIMITED,COVNB-1,Quick Reserve,PQR,52,49,10.37,2024-12-04T13:30:00,2024-12-04T14:00:00,,
EDF ENERGY CUSTOMERS LIMITED,COVNB-1,Quick Reserve,PQR,52,49,16.94,2024-12-03T23:30:00,2024-12-04T00:00:00,,
EDF ENERGY CUSTOMERS LIMITED,COVNB-1,Quick Reserve,PQR,52,49,10.56,2024-12-04T14:00:00,2024-12-04T14:30:00,,
EDF ENERGY CUSTOMERS LIMITED,COVNB-1,Quick Reserve,PQR,52,49,0.75,2024-12-04T04:00:00,2024-12-04T04:30:00,,
EDF ENERGY CUSTOMERS LIMITED,COVNB-1,Quick Reserve,NQR,52,49,5.25,2024-12-04T20:00:00,2024-12-04T20:30:00,,
EDF ENERGY CUSTOMERS LIMITED,COVNB-1,Quick Reserve,PQR,52,49,15.93,2024-12-04T00:00:00,2024-12-04T00:30:00,,
EDF ENERGY CUSTOMERS LIMITED,COVNB-1,Quick Reserve,NQR,52,49,6.75,2024-12-04T21:00:00,2024-12-04T21:30:00,,
EDF ENERGY CUSTOMERS LIMITED,COVNB-1,Quick Reserve,PQR,52,49,8.72,2024-12-04T11:00:00,2024-12-04T11:30:00,,
EDF ENERGY CUSTOMERS LIMITED,COVNB-1,Quick Reserve,PQR,52,49,7.91,2024-12-04T01:00:00,2024-12-04T01:30:00,,
EDF ENERGY CUSTOMERS LIMITED,COVNB-1,Quick Reserve,PQR,52,49,4,2024-12-07T06:30:00,2024-12-07T07:00:00,,
EDF ENERGY CUSTOMERS LIMITED,COVNB-1,Quick Reserve,NQR,52,49,6.63,2024-12-07T02:00:00,2024-12-07T02:30:00,,
EDF ENERGY CUSTOMERS LIMITED,COVNB-1,Quick Reserve,PQR,52,49,4.5,2024-12-07T04:00:00,2024-12-07T04:30:00,,
EDF ENERGY CUSTOMERS LIMITED,COVNB-1,Quick Reserve,NQR,52,49,4.85,2024-12-06T23:30:00,2024-12-07T00:00:00,,
EDF ENERGY CUSTOMERS LIMITED,COVNB-1,Quick Reserve,PQR,52,49,1.72,2024-12-07T05:00:00,2024-12-07T05:30:00,,
EDF ENERGY CUSTOMERS LIMITED,COVNB-1,Quick Reserve,NQR,52,49,4.62,2024-12-07T00:30:00,2024-12-07T01:00:00,,
EDF ENERGY CUSTOMERS LIMITED,COVNB-1,Quick Reserve,PQR,52,49,3.18,2024-12-07T06:00:00,2024-12-07T06:30:00,,
EDF ENERGY CUSTOMERS LIMITED,COVNB-1,Quick Reserve,NQR,52,49,6,2024-12-07T01:30:00,2024-12-07T02:00:00,,
EDF ENERGY CUSTOMERS LIMITED,COVNB-1,Quick Reserve,NQR,52,49,8.97,2024-12-07T02:30:00,2024-12-07T03:00:00,,
EDF ENERGY CUSTOMERS LIMITED,COVNB-1,Quick Reserve,PQR,52,49,4.5,2024-12-07T03:30:00,2024-12-07T04:00:00,,
