registeredAuctionParticipant,auctionUnit,serviceType,auctionProduct,Installed Capacity (MW),Delivery capacity (MW),clearingPrice,deliveryStart,deliveryEnd,Delivery date,EFA block of the day
EDF ENERGY CUSTOMERS LIMITED,COWB-1,Response,DCH,50,44,3,2024-10-11T14:00:00,2024-10-11T18:00:00,,
EDF ENERGY CUSTOMERS LIMITED,COWB-1,Response,DCH,50,44,3.5,2024-10-14T14:00:00,2024-10-14T18:00:00,,
EDF ENERGY CUSTOMERS LIMITED,COWB-1,Response,DCH,50,44,1.4,2024-10-23T10:00:00,2024-10-23T14:00:00,,
EDF ENERGY CUSTOMERS LIMITED,COWB-1,Response,DCL,50,44,1.7,2024-10-23T10:00:00,2024-10-23T14:00:00,,
EDF ENERGY CUSTOMERS LIMITED,COWB-1,Response,DCL,50,44,2.01,2024-11-20T23:00:00,2024-11-21T03:00:00,,
EDF ENERGY CUSTOMERS LIMITED,COWB-1,Response,DCL,50,44,2.25,2024-11-21T19:00:00,2024-11-21T23:00:00,,
EDF ENERGY CUSTOMERS LIMITED,COWB-1,Response,DCL,50,44,2.59,2024-11-21T23:00:00,2024-11-22T03:00:00,,
EDF ENERGY CUSTOMERS LIMITED,COWB-1,Response,DCL,50,44,2.12,2024-11-22T03:00:00,2024-11-22T07:00:00,,
EDF ENERGY CUSTOMERS LIMITED,COWB-1,Response,DCL,50,44,2.25,2024-11-22T19:00:00,2024-11-22T23:00:00,,
EDF ENERGY CUSTOMERS LIMITED,COWB-1,Response,DCL,50,44,2.04,2024-11-22T23:00:00,2024-11-23T03:00:00,,
EDF ENERGY CUSTOMERS LIMITED,COWB-1,Response,DCL,50,44,2.2,2024-11-23T03:00:00,2024-11-23T07:00:00,,
EDF ENERGY CUSTOMERS LIMITED,COWB-1,Response,DCL,50,44,2.42,2024-11-23T07:00:00,2024-11-23T11:00:00,,
EDF ENERGY CUSTOMERS LIMITED,COWB-1,Response,DCL,50,44,2.09,2024-11-23T11:00:00,2024-11-23T15:00:00,,
EDF ENERGY CUSTOMERS LIMITED,COWB-1,Response,DCH,50,44,2.75,2024-11-23T19:00:00,2024-11-23T23:00:00,,
EDF ENERGY CUSTOMERS LIMITED,COWB-1,Response,DCL,50,44,5.05,2024-11-23T19:00:00,2024-11-23T23:00:00,,
EDF ENERGY CUSTOMERS LIMITED,COWB-1,Response,DCL,50,44,3.5,2024-11-23T23:00:00,2024-11-24T03:00:00,,
EDF ENERGY CUSTOMERS LIMITED,COWB-1,Response,DCL,50,44,3.07,2024-11-24T03:00:00,2024-11-24T07:00:00,,
EDF ENERGY CUSTOMERS LIMITED,COWB-1,Response,DCL,50,44,2.82,2024-11-24T07:00:00,2024-11-24T11:00:00,,
EDF ENERGY CUSTOMERS LIMITED,COWB-1,Response,DCH,50,44,2.68,2024-11-24T07:00:00,2024-11-24T11:00:00,,
EDF ENERGY CUSTOMERS LIMITED,COWB-1,Response,DCH,50,44,2.24,2024-11-24T11:00:00,2024-11-24T15:00:00,,
EDF ENERGY CUSTOMERS LIMITED,COWB-1,Response,DCL,50,44,1.94,2024-11-24T11:00:00,2024-11-24T15:00:00,,
EDF ENERGY CUSTOMERS LIMITED,COWB-1,Response,DCH,50,44,1.71,2024-11-24T15:00:00,2024-11-24T19:00:00,,
EDF ENERGY CUSTOMERS LIMITED,COWB-1,Response,DCL,50,44,4.92,2024-11-24T19:00:00,2024-11-24T23:00:00,,
EDF ENERGY CUSTOMERS LIMITED,COWB-1,Response,DCH,50,44,1.9,2024-11-24T19:00:00,2024-11-24T23:00:00,,
EDF ENERGY CUSTOMERS LIMITED,COWB-1,Response,DCL,50,44,5,2024-11-24T23:00:00,2024-11-25T03:00:00,,
EDF ENERGY CUSTOMERS LIMITED,COWB-1,Response,DCL,50,44,2.86,2024-11-25T03:00:00,2024-11-25T07:00:00,,
EDF ENERGY CUSTOMERS LIMITED,COWB-1,Response,DCL,50,44,3.55,2024-11-25T07:00:00,2024-11-25T11:00:00,,
EDF ENERGY CUSTOMERS LIMITED,COWB-1,Response,DCH,50,44,3.01,2024-11-25T07:00:00,2024-11-25T11:00:00,,
EDF ENERGY CUSTOMERS LIMITED,COWB-1,Response,DCL,50,44,1.95,2024-11-25T11:00:00,2024-11-25T15:00:00,,
EDF ENERGY CUSTOMERS LIMITED,COWB-1,Response,DCL,50,44,3.93,2024-11-25T19:00:00,2024-11-25T23:00:00,,
EDF ENERGY CUSTOMERS LIMITED,COWB-1,Response,DCL,50,44,3.5,2024-11-26T19:00:00,2024-11-26T23:00:00,,
EDF ENERGY CUSTOMERS LIMITED,COWB-1,Response,DCL,50,44,4.23,2024-11-30T23:00:00,2024-12-01T03:00:00,,
EDF ENERGY CUSTOMERS LIMITED,COWB-1,Response,DCH,50,44,1.63,2024-12-01T07:00:00,2024-12-01T11:00:00,,
EDF ENERGY CUSTOMERS LIMITED,COWB-1,Response,DCL,50,44,3.27,2024-12-01T23:00:00,2024-12-02T03:00:00,,
EDF ENERGY CUSTOMERS LIMITED,COWB-1,Response,DCL,50,44,3.6,2024-12-03T19:00:00,2024-12-03T23:00:00,,
EDF ENERGY CUSTOMERS LIMITED,COWB-1,Response,DCH,50,44,3.45,2024-12-09T19:00:00,2024-12-09T23:00:00,,
EDF ENERGY CUSTOMERS LIMITED,COWB-1,Response,DCL,50,44,5.69,2024-12-10T07:00:00,2024-12-10T11:00:00,,
EDF ENERGY CUSTOMERS LIMITED,COWB-1,Response,DCH,50,44,1.78,2024-12-10T19:00:00,2024-12-10T23:00:00,,
EDF ENERGY CUSTOMERS LIMITED,COWB-1,Response,DCL,50,44,3.5,2024-12-10T19:00:00,2024-12-10T23:00:00,,
EDF ENERGY CUSTOMERS LIMITED,COWB-1,Response,DCL,50,44,3.06,2024-12-10T23:00:00,2024-12-11T03:00:00,,
EDF ENERGY CUSTOMERS LIMITED,COWB-1,Response,DCL,50,44,4,2024-12-11T03:00:00,2024-12-11T07:00:00,,
EDF ENERGY CUSTOMERS LIMITED,COWB-1,Response,DCL,50,44,7.69,2024-12-11T07:00:00,2024-12-11T11:00:00,,
EDF ENERGY CUSTOMERS LIMITED,COWB-1,Response,DCH,50,44,2,2024-12-11T07:00:00,2024-12-11T11:00:00,,
EDF ENERGY CUSTOMERS LIMITED,COWB-1,Response,DCL,50,44,12.92,2024-12-11T19:00:00,2024-12-11T23:00:00,,
EDF ENERGY CUSTOMERS LIMITED,COWB-1,Response,DCH,50,44,1.53,2024-12-11T19:00:00,2024-12-11T23:00:00,,
EDF ENERGY CUSTOMERS LIMITED,COWB-1,Response,DCH,50,44,6.9,2024-12-12T07:00:00,2024-12-12T11:00:00,,
EDF ENERGY CUSTOMERS LIMITED,COWB-1,Response,DCL,50,44,14,2024-12-12T19:00:00,2024-12-12T23:00:00,,
EDF ENERGY CUSTOMERS LIMITED,COWB-1,Response,DCL,50,44,4,2024-12-13T03:00:00,2024-12-13T07:00:00,,
EDF ENERGY CUSTOMERS LIMITED,COWB-1,Response,DCL,50,44,8.96,2024-12-13T07:00:00,2024-12-13T11:00:00,,
EDF ENERGY CUSTOMERS LIMITED,COWB-1,Response,DCL,50,44,2.4,2024-12-13T23:00:00,2024-12-14T03:00:00,,
EDF ENERGY CUSTOMERS LIMITED,COWB-1,Response,DCL,50,44,3.58,2024-12-14T07:00:00,2024-12-14T11:00:00,,
EDF ENERGY CUSTOMERS LIMITED,COWB-1,Response,DCH,50,44,5.64,2024-12-14T07:00:00,2024-12-14T11:00:00,,
EDF ENERGY CUSTOMERS LIMITED,COWB-1,Response,DCH,50,44,4,2024-12-14T11:00:00,2024-12-14T15:00:00,,
EDF ENERGY CUSTOMERS LIMITED,COWB-1,Response,DCH,50,44,5.36,2024-12-14T19:00:00,2024-12-14T23:00:00,,
EDF ENERGY CUSTOMERS LIMITED,COWB-1,Response,DCL,50,44,3.25,2024-12-14T23:00:00,2024-12-15T03:00:00,,
EDF ENERGY CUSTOMERS LIMITED,COWB-1,Response,DCL,50,44,1.69,2024-12-15T03:00:00,2024-12-15T07:00:00,,
EDF ENERGY CUSTOMERS LIMITED,COWB-1,Response,DCL,50,44,2.62,2024-12-15T07:00:00,2024-12-15T11:00:00,,
EDF ENERGY CUSTOMERS LIMITED,COWB-1,Response,DCH,50,44,3.99,2024-12-15T07:00:00,2024-12-15T11:00:00,,
EDF ENERGY CUSTOMERS LIMITED,COWB-1,Response,DCL,50,44,2.19,2024-12-15T11:00:00,2024-12-15T15:00:00,,
EDF ENERGY CUSTOMERS LIMITED,COWB-1,Response,DCH,50,44,4.16,2024-12-15T15:00:00,2024-12-15T19:00:00,,
EDF ENERGY CUSTOMERS LIMITED,COWB-1,Response,DCH,50,44,2.1,2024-12-15T19:00:00,2024-12-15T23:00:00,,
EDF ENERGY CUSTOMERS LIMITED,COWB-1,Response,DCL,50,44,4.33,2024-12-15T19:00:00,2024-12-15T23:00:00,,
EDF ENERGY CUSTOMERS LIMITED,COWB-1,Response,DCL,50,44,4,2024-12-15T23:00:00,2024-12-16T03:00:00,,
EDF ENERGY CUSTOMERS LIMITED,COWB-1,Response,DCL,50,44,3.89,2024-12-16T03:00:00,2024-12-16T07:00:00,,
