registeredAuctionParticipant,auctionUnit,serviceType,auctionProduct,Installed capacity (MW),Delivery capacity (MW),clearingPrice,deliveryStart,deliveryEnd,Delivery date,EFA block of the day
EDF ENERGY CUSTOMERS LIMITED,KEMB-1,Response,DCL,50,46,1.2,2023-11-25T11:00:00,2023-11-25T15:00:00,,
EDF ENERGY CUSTOMERS LIMITED,KEMB-1,Response,DCL,50,46,0.64,2023-11-24T23:00:00,2023-11-25T03:00:00,,
EDF ENERGY CUSTOMERS LIMITED,KEMB-1,Response,DCL,50,46,0.6,2023-11-25T03:00:00,2023-11-25T07:00:00,,
EDF ENERGY CUSTOMERS LIMITED,KEMB-1,Response,DCL,50,45,0.2,2023-11-03T03:00:00,2023-11-03T07:00:00,,
EDF ENERGY CUSTOMERS LIMITED,KEMB-1,Response,DCL,50,45,2.28,2023-11-03T07:00:00,2023-11-03T11:00:00,,
EDF ENERGY CUSTOMERS LIMITED,KEMB-1,Response,DCL,50,45,1.39,2023-11-03T19:00:00,2023-11-03T23:00:00,,
EDF ENERGY CUSTOMERS LIMITED,KEMB-1,Response,DCL,50,45,0.26,2023-11-02T23:00:00,2023-11-03T03:00:00,,
EDF ENERGY CUSTOMERS LIMITED,KEMB-1,Response,DCL,50,45,1.36,2023-11-03T11:00:00,2023-11-03T15:00:00,,
EDF ENERGY CUSTOMERS LIMITED,KEMB-1,Response,DCL,50,45,1.15,2023-11-25T19:00:00,2023-11-25T23:00:00,,
EDF ENERGY CUSTOMERS LIMITED,KEMB-1,Response,DCL,50,45,0.43,2024-01-05T23:00:00,2024-01-06T03:00:00,,
EDF ENERGY CUSTOMERS LIMITED,KEMB-1,Response,DCL,50,45,0.7,2024-01-06T23:00:00,2024-01-07T03:00:00,,
EDF ENERGY CUSTOMERS LIMITED,KEMB-1,Response,DCL,50,45,1.56,2024-01-07T19:00:00,2024-01-07T23:00:00,,
EDF ENERGY CUSTOMERS LIMITED,KEMB-1,Response,DMH,50,45,3.39,2025-04-17T14:00:00,2025-04-17T18:00:00,,
EDF ENERGY CUSTOMERS LIMITED,KEMB-1,Response,DMH,50,45,-0.52,2025-04-17T18:00:00,2025-04-17T22:00:00,,
EDF ENERGY CUSTOMERS LIMITED,KEMB-1,Response,DCH,50,44,3.07,2024-04-29T18:00:00,2024-04-29T22:00:00,,
EDF ENERGY CUSTOMERS LIMITED,KEMB-1,Response,DCH,50,44,4,2024-05-02T14:00:00,2024-05-02T18:00:00,,
EDF ENERGY CUSTOMERS LIMITED,KEMB-1,Response,DCL,50,44,1.42,2024-05-09T10:00:00,2024-05-09T14:00:00,,
EDF ENERGY CUSTOMERS LIMITED,KEMB-1,Response,DCH,50,44,1.56,2024-05-09T18:00:00,2024-05-09T22:00:00,,
EDF ENERGY CUSTOMERS LIMITED,KEMB-1,Response,DCL,50,44,1.66,2024-05-16T10:00:00,2024-05-16T14:00:00,,
EDF ENERGY CUSTOMERS LIMITED,KEMB-1,Response,DCH,50,44,1.7,2024-05-24T18:00:00,2024-05-24T22:00:00,,
EDF ENERGY CUSTOMERS LIMITED,KEMB-1,Response,DCH,50,44,6.88,2024-06-08T14:00:00,2024-06-08T18:00:00,,
EDF ENERGY CUSTOMERS LIMITED,KEMB-1,Response,DCH,50,44,7,2024-06-10T14:00:00,2024-06-10T18:00:00,,
EDF ENERGY CUSTOMERS LIMITED,KEMB-1,Response,DCH,50,44,1.72,2024-06-13T18:00:00,2024-06-13T22:00:00,,
EDF ENERGY CUSTOMERS LIMITED,KEMB-1,Response,DRH,50,44,-0.46,2024-06-18T14:00:00,2024-06-18T18:00:00,,
EDF ENERGY CUSTOMERS LIMITED,KEMB-1,Response,DRH,50,44,-2.32,2024-06-19T14:00:00,2024-06-19T18:00:00,,
EDF ENERGY CUSTOMERS LIMITED,KEMB-1,Response,DCL,50,44,1.28,2024-06-23T02:00:00,2024-06-23T06:00:00,,
EDF ENERGY CUSTOMERS LIMITED,KEMB-1,Response,DCL,50,44,1.34,2024-07-28T10:00:00,2024-07-28T14:00:00,,
EDF ENERGY CUSTOMERS LIMITED,KEMB-1,Response,DCL,50,44,1.75,2024-08-14T22:00:00,2024-08-15T02:00:00,,
EDF ENERGY CUSTOMERS LIMITED,KEMB-1,Response,DCL,50,44,2,2024-08-16T10:00:00,2024-08-16T14:00:00,,
EDF ENERGY CUSTOMERS LIMITED,KEMB-1,Response,DCL,50,44,2.23,2024-08-17T10:00:00,2024-08-17T14:00:00,,
EDF ENERGY CUSTOMERS LIMITED,KEMB-1,Response,DCL,50,44,1.75,2024-08-17T22:00:00,2024-08-18T02:00:00,,
