registeredAuctionParticipant,auctionUnit,serviceType,auctionProduct,Installed capacity (MW),Delivery capacity (MW),clearingPrice,deliveryStart,deliveryEnd,Delivery date,EFA block of the day 
EDF ENERGY CUSTOMERS LIMITED,TYLNB-1,Quick Reserve,PQR,57,57,1,2025-04-17T23:30:00,2025-04-18T00:00:00,,
EDF ENERGY CUSTOMERS LIMITED,TYLNB-1,Quick Reserve,PQR,57,57,9.79,2025-04-18T18:30:00,2025-04-18T19:00:00,,
EDF ENERGY CUSTOMERS LIMITED,TYLNB-1,Quick Reserve,PQR,57,57,10.31,2025-04-17T22:00:00,2025-04-17T22:30:00,,
EDF ENERGY CUSTOMERS LIMITED,TYLNB-1,Quick Reserve,PQR,57,57,8.7,2025-04-18T04:30:00,2025-04-18T05:00:00,,
EDF ENERGY CUSTOMERS LIMITED,TYLNB-1,Quick Reserve,PQR,57,57,0.72,2025-04-18T03:00:00,2025-04-18T03:30:00,,
EDF ENERGY CUSTOMERS LIMITED,TYLNB-1,Quick Reserve,PQR,57,57,6.47,2025-04-18T09:30:00,2025-04-18T10:00:00,,
EDF ENERGY CUSTOMERS LIMITED,TYLNB-1,Quick Reserve,PQR,57,57,6.46,2025-04-18T08:00:00,2025-04-18T08:30:00,,
EDF ENERGY CUSTOMERS LIMITED,TYLNB-1,Quick Reserve,PQR,57,57,3.38,2025-04-18T14:30:00,2025-04-18T15:00:00,,
EDF ENERGY CUSTOMERS LIMITED,TYLNB-1,Quick Reserve,PQR,57,57,5.6,2025-04-18T13:00:00,2025-04-18T13:30:00,,
EDF ENERGY CUSTOMERS LIMITED,TYLNB-1,Quick Reserve,PQR,57,57,10.71,2025-04-18T19:30:00,2025-04-18T20:00:00,,
EDF ENERGY CUSTOMERS LIMITED,TYLNB-1,Quick Reserve,PQR,57,57,1,2025-04-18T14:00:00,2025-04-18T14:30:00,,
EDF ENERGY CUSTOMERS LIMITED,TYLNB-1,Quick Reserve,PQR,57,57,9.28,2025-04-18T20:30:00,2025-04-18T21:00:00,,
EDF ENERGY CUSTOMERS LIMITED,TYLNB-1,Quick Reserve,PQR,57,57,0.36,2025-04-18T00:00:00,2025-04-18T00:30:00,,
EDF ENERGY CUSTOMERS LIMITED,TYLNB-1,Quick Reserve,PQR,57,57,25.82,2025-04-18T19:00:00,2025-04-18T19:30:00,,
EDF ENERGY CUSTOMERS LIMITED,TYLNB-1,Quick Reserve,PQR,57,57,0,2025-04-17T22:30:00,2025-04-17T23:00:00,,
EDF ENERGY CUSTOMERS LIMITED,TYLNB-1,Quick Reserve,PQR,57,57,10.22,2025-04-18T05:00:00,2025-04-18T05:30:00,,
EDF ENERGY CUSTOMERS LIMITED,TYLNB-1,Quick Reserve,PQR,57,57,0,2025-04-18T03:30:00,2025-04-18T04:00:00,,
EDF ENERGY CUSTOMERS LIMITED,TYLNB-1,Quick Reserve,PQR,57,57,6.88,2025-04-18T10:00:00,2025-04-18T10:30:00,,
EDF ENERGY CUSTOMERS LIMITED,TYLNB-1,Quick Reserve,PQR,57,57,6.1,2025-04-18T08:30:00,2025-04-18T09:00:00,,
EDF ENERGY CUSTOMERS LIMITED,TYLNB-1,Quick Reserve,PQR,57,57,3.38,2025-04-18T15:00:00,2025-04-18T15:30:00,,
EDF ENERGY CUSTOMERS LIMITED,TYLNB-1,Quick Reserve,PQR,57,57,6.19,2025-04-18T20:00:00,2025-04-18T20:30:00,,
EDF ENERGY CUSTOMERS LIMITED,TYLNB-1,Quick Reserve,PQR,57,57,6.77,2025-04-18T21:00:00,2025-04-18T21:30:00,,
EDF ENERGY CUSTOMERS LIMITED,TYLNB-1,Quick Reserve,PQR,57,57,0.36,2025-04-18T00:30:00,2025-04-18T01:00:00,,
EDF ENERGY CUSTOMERS LIMITED,TYLNB-1,Quick Reserve,PQR,57,57,0,2025-04-17T23:00:00,2025-04-17T23:30:00,,
EDF ENERGY CUSTOMERS LIMITED,TYLNB-1,Quick Reserve,PQR,57,57,6.52,2025-04-18T05:30:00,2025-04-18T06:00:00,,
EDF ENERGY CUSTOMERS LIMITED,TYLNB-1,Quick Reserve,PQR,57,57,0,2025-04-18T04:00:00,2025-04-18T04:30:00,,
