registeredAuctionParticipant,auctionUnit,serviceType,auctionProduct,executedQuantity,clearingPrice,deliveryStart,deliveryEnd,Delivery date,EFA block of the day 
GORE STREET ENERGY TRADING LIMITED,GSET-02,Response,DCH,8,1,2024-11-15T23:00:00,2024-11-16T03:00:00,,
GORE STREET ENERGY TRADING LIMITED,GSET-02,Response,DCL,8,2.6,2024-11-15T23:00:00,2024-11-16T03:00:00,,
GORE STREET ENERGY TRADING LIMITED,GSET-02,Response,DCH,8,3,2024-11-16T03:00:00,2024-11-16T07:00:00,,
GORE STREET ENERGY TRADING LIMITED,GSET-02,Response,DCL,8,1.5,2024-11-16T03:00:00,2024-11-16T07:00:00,,
GORE STREET ENERGY TRADING LIMITED,GSET-02,Response,DCL,8,1.96,2024-11-16T07:00:00,2024-11-16T11:00:00,,
GORE STREET ENERGY TRADING LIMITED,GSET-02,Response,DCL,8,1.83,2024-11-16T11:00:00,2024-11-16T15:00:00,,
GORE STREET ENERGY TRADING LIMITED,GSET-02,Response,DCL,8,4.25,2024-11-16T15:00:00,2024-11-16T19:00:00,,
GORE STREET ENERGY TRADING LIMITED,GSET-02,Response,DCL,8,2.37,2024-11-16T19:00:00,2024-11-16T23:00:00,,
GORE STREET ENERGY TRADING LIMITED,GSET-02,Response,DCL,8,2.56,2024-11-16T23:00:00,2024-11-17T03:00:00,,
GORE STREET ENERGY TRADING LIMITED,GSET-02,Response,DCH,8,2,2024-11-16T23:00:00,2024-11-17T03:00:00,,
GORE STREET ENERGY TRADING LIMITED,GSET-02,Response,DCL,8,3.14,2024-11-17T03:00:00,2024-11-17T07:00:00,,
GORE STREET ENERGY TRADING LIMITED,GSET-02,Response,DCH,8,4.75,2024-11-17T03:00:00,2024-11-17T07:00:00,,
GORE STREET ENERGY TRADING LIMITED,GSET-02,Response,DCL,8,2.05,2024-11-17T07:00:00,2024-11-17T11:00:00,,
GORE STREET ENERGY TRADING LIMITED,GSET-02,Response,DCL,8,1.49,2024-11-17T11:00:00,2024-11-17T15:00:00,,
GORE STREET ENERGY TRADING LIMITED,GSET-02,Response,DCL,8,1.75,2024-11-17T19:00:00,2024-11-17T23:00:00,,
GORE STREET ENERGY TRADING LIMITED,GSET-02,Response,DCL,8,1.79,2024-11-17T23:00:00,2024-11-18T03:00:00,,
GORE STREET ENERGY TRADING LIMITED,GSET-02,Response,DCH,8,1.5,2024-11-17T23:00:00,2024-11-18T03:00:00,,
GORE STREET ENERGY TRADING LIMITED,GSET-02,Response,DCL,8,2,2024-11-18T03:00:00,2024-11-18T07:00:00,,
GORE STREET ENERGY TRADING LIMITED,GSET-02,Response,DCH,8,2.12,2024-11-18T03:00:00,2024-11-18T07:00:00,,
GORE STREET ENERGY TRADING LIMITED,GSET-02,Response,DCL,8,1.26,2024-11-18T07:00:00,2024-11-18T11:00:00,,
GORE STREET ENERGY TRADING LIMITED,GSET-02,Response,DCL,8,1.27,2024-11-18T11:00:00,2024-11-18T15:00:00,,
GORE STREET ENERGY TRADING LIMITED,GSET-02,Response,DCH,8,1.3,2024-11-18T15:00:00,2024-11-18T19:00:00,,
