registeredAuctionParticipant,auctionUnit,serviceType,auctionProduct,Delivery capacity(MW),clearingPrice,deliveryStart,deliveryEnd,Delivery date,EFA block of the day 
GORE STREET ENERGY TRADING LIMITED,GSET-03,Response,DCH,18,0.91,2025-01-19T15:00:00,2025-01-19T19:00:00,,
GORE STREET ENERGY TRADING LIMITED,GSET-03,Response,DCL,18,7.83,2025-01-19T15:00:00,2025-01-19T19:00:00,,
GORE STREET ENERGY TRADING LIMITED,GSET-03,Response,DCL,18,9.4,2025-02-04T15:00:00,2025-02-04T19:00:00,,
GORE STREET ENERGY TRADING LIMITED,GSET-03,Response,DCH,18,1,2025-03-19T19:00:00,2025-03-19T23:00:00,,
GORE STREET ENERGY TRADING LIMITED,GSET-03,Response,DCH,18,0.88,2025-03-19T07:00:00,2025-03-19T11:00:00,,
GORE STREET ENERGY TRADING LIMITED,GSET-03,Response,DCL,18,6.69,2025-03-19T11:00:00,2025-03-19T15:00:00,,
GORE STREET ENERGY TRADING LIMITED,GSET-03,Response,DCL,18,2.78,2025-03-18T23:00:00,2025-03-19T03:00:00,,
GORE STREET ENERGY TRADING LIMITED,GSET-03,Response,DCH,18,2.96,2025-03-19T11:00:00,2025-03-19T15:00:00,,
GORE STREET ENERGY TRADING LIMITED,GSET-03,Response,DCH,18,2.07,2025-03-18T23:00:00,2025-03-19T03:00:00,,
GORE STREET ENERGY TRADING LIMITED,GSET-03,Response,DCL,18,4.69,2025-03-19T03:00:00,2025-03-19T07:00:00,,
GORE STREET ENERGY TRADING LIMITED,GSET-03,Response,DCH,18,2.91,2025-03-19T15:00:00,2025-03-19T19:00:00,,
GORE STREET ENERGY TRADING LIMITED,GSET-03,Response,DCH,18,1.73,2025-03-19T03:00:00,2025-03-19T07:00:00,,
GORE STREET ENERGY TRADING LIMITED,GSET-03,Response,DCL,18,5.36,2025-03-19T07:00:00,2025-03-19T11:00:00,,
GORE STREET ENERGY TRADING LIMITED,GSET-03,Response,DCL,18,3.7,2025-03-19T19:00:00,2025-03-19T23:00:00,,
GORE STREET ENERGY TRADING LIMITED,GSET-03,Response,DCH,18,3.75,2025-03-20T11:00:00,2025-03-20T15:00:00,,
GORE STREET ENERGY TRADING LIMITED,GSET-03,Response,DCL,18,2.32,2025-03-20T03:00:00,2025-03-20T07:00:00,,
GORE STREET ENERGY TRADING LIMITED,GSET-03,Response,DCH,18,1.73,2025-03-20T15:00:00,2025-03-20T19:00:00,,
GORE STREET ENERGY TRADING LIMITED,GSET-03,Response,DCH,18,1.84,2025-03-20T03:00:00,2025-03-20T07:00:00,,
GORE STREET ENERGY TRADING LIMITED,GSET-03,Response,DCL,18,3.88,2025-03-20T19:00:00,2025-03-20T23:00:00,,
