registeredAuctionParticipant,auctionUnit,serviceType,auctionProduct,Delivery capacity(MW),clearingPrice,deliveryStart,deliveryEnd,Delivery date,EFA block of the day 
GORE STREET ENERGY TRADING LIMITED,GSET-01,Response,DCL,8,5.3,2024-10-18T06:00:00,2024-10-18T10:00:00,,
GORE STREET ENERGY TRADING LIMITED,GSET-01,Response,DCL,8,5.08,2024-10-18T14:00:00,2024-10-18T18:00:00,,
GORE STREET ENERGY TRADING LIMITED,GSET-01,Response,DCL,8,4.5,2024-10-19T22:00:00,2024-10-20T02:00:00,,
GORE STREET ENERGY TRADING LIMITED,GSET-01,Response,DCH,8,1.2,2024-10-19T22:00:00,2024-10-20T02:00:00,,
GORE STREET ENERGY TRADING LIMITED,GSET-01,Response,DCL,8,3.51,2024-10-20T02:00:00,2024-10-20T06:00:00,,
GORE STREET ENERGY TRADING LIMITED,GSET-01,Response,DCH,8,2.5,2024-10-20T02:00:00,2024-10-20T06:00:00,,
GORE STREET ENERGY TRADING LIMITED,GSET-01,Response,DCL,8,1.85,2024-10-20T06:00:00,2024-10-20T10:00:00,,
GORE STREET ENERGY TRADING LIMITED,GSET-01,Response,DCL,8,5.44,2024-10-20T18:00:00,2024-10-20T22:00:00,,
GORE STREET ENERGY TRADING LIMITED,GSET-01,Response,DCH,8,1.44,2024-10-20T18:00:00,2024-10-20T22:00:00,,
GORE STREET ENERGY TRADING LIMITED,GSET-01,Response,DCL,8,4.48,2024-10-20T22:00:00,2024-10-21T02:00:00,,
GORE STREET ENERGY TRADING LIMITED,GSET-01,Response,DCH,8,2.5,2024-10-20T22:00:00,2024-10-21T02:00:00,,
GORE STREET ENERGY TRADING LIMITED,GSET-01,Response,DCH,8,5.73,2024-10-21T02:00:00,2024-10-21T06:00:00,,
GORE STREET ENERGY TRADING LIMITED,GSET-01,Response,DCL,8,1.67,2024-10-21T02:00:00,2024-10-21T06:00:00,,
GORE STREET ENERGY TRADING LIMITED,GSET-01,Response,DCL,8,3.41,2024-10-21T06:00:00,2024-10-21T10:00:00,,
GORE STREET ENERGY TRADING LIMITED,GSET-01,Response,DCH,8,2,2024-10-21T06:00:00,2024-10-21T10:00:00,,
GORE STREET ENERGY TRADING LIMITED,GSET-01,Response,DCL,8,2.18,2024-10-21T10:00:00,2024-10-21T14:00:00,,
GORE STREET ENERGY TRADING LIMITED,GSET-01,Response,DCH,8,1,2024-10-21T10:00:00,2024-10-21T14:00:00,,
GORE STREET ENERGY TRADING LIMITED,GSET-01,Response,DCL,8,6.5,2024-10-21T14:00:00,2024-10-21T18:00:00,,
GORE STREET ENERGY TRADING LIMITED,GSET-01,Response,DCH,8,1.21,2024-10-21T14:00:00,2024-10-21T18:00:00,,
GORE STREET ENERGY TRADING LIMITED,GSET-01,Response,DCH,8,0.7,2024-10-21T18:00:00,2024-10-21T22:00:00,,
GORE STREET ENERGY TRADING LIMITED,GSET-01,Response,DCL,8,3.22,2024-10-21T18:00:00,2024-10-21T22:00:00,,
GORE STREET ENERGY TRADING LIMITED,GSET-01,Response,DCH,8,2,2024-10-21T22:00:00,2024-10-22T02:00:00,,
GORE STREET ENERGY TRADING LIMITED,GSET-01,Response,DCL,8,3.46,2024-10-21T22:00:00,2024-10-22T02:00:00,,
GORE STREET ENERGY TRADING LIMITED,GSET-01,Response,DCL,8,2.08,2024-10-22T02:00:00,2024-10-22T06:00:00,,
GORE STREET ENERGY TRADING LIMITED,GSET-01,Response,DCH,8,2.5,2024-10-22T02:00:00,2024-10-22T06:00:00,,
GORE STREET ENERGY TRADING LIMITED,GSET-01,Response,DCL,8,4.7,2024-10-22T06:00:00,2024-10-22T10:00:00,,
GORE STREET ENERGY TRADING LIMITED,GSET-01,Response,DCH,8,0.75,2024-10-22T06:00:00,2024-10-22T10:00:00,,
GORE STREET ENERGY TRADING LIMITED,GSET-01,Response,DCH,8,1.25,2024-10-22T14:00:00,2024-10-22T18:00:00,,
GORE STREET ENERGY TRADING LIMITED,GSET-01,Response,DCL,8,7.15,2024-10-22T14:00:00,2024-10-22T18:00:00,,
GORE STREET ENERGY TRADING LIMITED,GSET-01,Response,DCH,8,0.59,2024-10-22T18:00:00,2024-10-22T22:00:00,,
GORE STREET ENERGY TRADING LIMITED,GSET-01,Response,DCL,8,5,2024-10-22T18:00:00,2024-10-22T22:00:00,,
GORE STREET ENERGY TRADING LIMITED,GSET-01,Response,DCH,8,1.12,2024-10-22T22:00:00,2024-10-23T02:00:00,,
GORE STREET ENERGY TRADING LIMITED,GSET-01,Response,DCL,8,1.92,2024-10-22T22:00:00,2024-10-23T02:00:00,,
GORE STREET ENERGY TRADING LIMITED,GSET-01,Response,DCH,8,4,2024-10-23T02:00:00,2024-10-23T06:00:00,,
GORE STREET ENERGY TRADING LIMITED,GSET-01,Response,DCL,8,2.54,2024-10-23T02:00:00,2024-10-23T06:00:00,,
GORE STREET ENERGY TRADING LIMITED,GSET-01,Response,DCH,8,2.04,2024-10-23T06:00:00,2024-10-23T10:00:00,,
GORE STREET ENERGY TRADING LIMITED,GSET-01,Response,DCL,8,6,2024-10-23T06:00:00,2024-10-23T10:00:00,,
GORE STREET ENERGY TRADING LIMITED,GSET-01,Response,DCH,8,1.4,2024-10-23T10:00:00,2024-10-23T14:00:00,,
GORE STREET ENERGY TRADING LIMITED,GSET-01,Response,DCL,8,1.7,2024-10-23T10:00:00,2024-10-23T14:00:00,,
GORE STREET ENERGY TRADING LIMITED,GSET-01,Response,DCL,8,6.5,2024-10-23T14:00:00,2024-10-23T18:00:00,,
GORE STREET ENERGY TRADING LIMITED,GSET-01,Response,DCH,8,2,2024-10-23T14:00:00,2024-10-23T18:00:00,,
GORE STREET ENERGY TRADING LIMITED,GSET-01,Response,DCL,8,3.75,2024-10-23T18:00:00,2024-10-23T22:00:00,,
GORE STREET ENERGY TRADING LIMITED,GSET-01,Response,DCH,8,1,2024-10-23T18:00:00,2024-10-23T22:00:00,,
GORE STREET ENERGY TRADING LIMITED,GSET-01,Response,DCL,8,2.56,2024-10-23T22:00:00,2024-10-24T02:00:00,,
