registeredAuctionParticipant,auctionUnit,serviceType,auctionProduct,Delivery quantity (MW) ,clearingPrice,deliveryStart,deliveryEnd,Delivery date,EFA block of the day 
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,50,3,2024-04-15T22:00:00,2024-04-16T02:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,50,1.31,2024-04-16T02:00:00,2024-04-16T06:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,50,4,2024-04-16T14:00:00,2024-04-16T18:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,50,1.11,2024-05-28T22:00:00,2024-05-29T02:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,50,0.5,2024-05-29T02:00:00,2024-05-29T06:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCH,50,4.47,2024-07-04T02:00:00,2024-07-04T06:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCH,50,2,2024-07-04T06:00:00,2024-07-04T10:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCH,50,3.75,2024-07-04T14:00:00,2024-07-04T18:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCH,50,0.35,2024-07-04T18:00:00,2024-07-04T22:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,50,1.5,2024-08-10T14:00:00,2024-08-10T18:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,50,1.39,2024-08-19T22:00:00,2024-08-20T02:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,50,2.08,2024-11-25T23:00:00,2024-11-26T03:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,50,2.06,2024-11-26T03:00:00,2024-11-26T07:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,50,1.6,2024-11-26T07:00:00,2024-11-26T11:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,50,1.71,2024-11-26T11:00:00,2024-11-26T15:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,50,4,2024-12-11T03:00:00,2024-12-11T07:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,50,7.69,2024-12-11T07:00:00,2024-12-11T11:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCL,50,3.18,2024-12-11T11:00:00,2024-12-11T15:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCH,50,1.05,2024-12-20T23:00:00,2024-12-21T03:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCH,50,5,2024-12-21T03:00:00,2024-12-21T07:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCH,50,1.41,2024-12-21T07:00:00,2024-12-21T11:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCH,50,2.07,2024-12-21T11:00:00,2024-12-21T15:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCH,50,1.65,2024-12-21T15:00:00,2024-12-21T19:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCH,50,3.01,2024-12-21T23:00:00,2024-12-22T03:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCH,50,3.45,2024-12-22T03:00:00,2024-12-22T07:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCH,50,2.18,2024-12-22T07:00:00,2024-12-22T11:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCH,50,3.08,2024-12-22T11:00:00,2024-12-22T15:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCH,50,4.18,2024-12-22T15:00:00,2024-12-22T19:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCH,50,1.04,2024-12-22T19:00:00,2024-12-22T23:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCH,50,0.87,2024-12-28T23:00:00,2024-12-29T03:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCH,50,4.5,2024-12-29T03:00:00,2024-12-29T07:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCH,50,2.96,2024-12-29T07:00:00,2024-12-29T11:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCH,50,4.5,2024-12-29T11:00:00,2024-12-29T15:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCH,50,1,2024-12-29T15:00:00,2024-12-29T19:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCH,50,2.14,2024-12-29T19:00:00,2024-12-29T23:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCH,50,0.97,2025-01-16T19:00:00,2025-01-16T23:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCH,50,1.2,2025-01-16T15:00:00,2025-01-16T19:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCH,50,2.69,2025-01-16T23:00:00,2025-01-17T03:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCH,50,4.69,2025-01-24T07:00:00,2025-01-24T11:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCH,50,0.46,2025-01-24T15:00:00,2025-01-24T19:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCH,50,7.14,2025-01-24T03:00:00,2025-01-24T07:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCH,50,1.54,2025-01-24T11:00:00,2025-01-24T15:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCH,50,1.53,2025-01-24T19:00:00,2025-01-24T23:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCH,50,2,2025-01-23T23:00:00,2025-01-24T03:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCH,50,2.5,2025-01-24T23:00:00,2025-01-25T03:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCH,50,1.29,2025-02-03T07:00:00,2025-02-03T11:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCH,50,1.5,2025-02-03T15:00:00,2025-02-03T19:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCH,50,3.9,2025-02-03T19:00:00,2025-02-03T23:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCH,50,4,2025-02-03T23:00:00,2025-02-04T03:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCH,50,2.52,2025-02-04T07:00:00,2025-02-04T11:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCH,50,2.45,2025-02-20T19:00:00,2025-02-20T23:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCH,50,2.39,2025-02-21T19:00:00,2025-02-21T23:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCH,50,1.82,2025-02-23T19:00:00,2025-02-23T23:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCH,50,1.25,2025-02-22T23:00:00,2025-02-23T03:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCH,50,4.69,2025-02-23T15:00:00,2025-02-23T19:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCH,50,1.89,2025-03-04T19:00:00,2025-03-04T23:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCH,50,4.44,2025-03-05T19:00:00,2025-03-05T23:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCH,50,3.1,2025-03-04T23:00:00,2025-03-05T03:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCH,50,0.96,2025-03-05T07:00:00,2025-03-05T11:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCH,50,3.42,2025-03-05T15:00:00,2025-03-05T19:00:00,,
SCOTTISHPOWER RENEWABLES (UK) LIMITED,WHLWB-1,Response,DCH,50,4.75,2025-03-05T03:00:00,2025-03-05T07:00:00,,
