Participant,Unit Name,Installed Capacity (MW)
Limejump,Bulls Head Farm Battery,1
Limejump,Meteor Cheltenham Battery,1.5
Limejump,Knottingley Hydro Battery,2.4
Centrica,Gateshead Battery,3
Flexitricity,Roundswell Battery,3
Gore Street (GSF),Stormydown Battery,4
E.ON,Westhamnett Battery,4
Limejump,Drayton Manor Farm Battery,4.8
Gridserve,Braintree Electric Forecourt Battery,5
Thrive Renewables,Wicken Battery,5
Gresham (GRID),Wolverhampton Battery,5
Gore Street (GSF),Boulby Battery,6
Gridserve,Clayhill Farm Battery,6
Conrad Energy,Midsomer Battery,6
Qenergy,Milton Court Battery,6
Gridserve,Norwich East Electric Forecourt Battery,6
ESB Group,Mill Farm Battery,7
Limejump,Seamer Carr Battery,7
Harmony Energy,Holes Bay Battery,7.5
Boom Power,Bacup Battery,8
Baywa R.E.,Scurf Dyke Battery,8
E.ON,Blackburn Meadows Battery,10
Capbal,Braco (Capbal) Battery,10
Gore Street (GSF),Breach Farm Battery,10
Warrington Borough Council,Cirencester Solar Farm Battery,10
Gresham (GRID),Cleator Battery,10
Fore Power,Doncaster Balby Battery,10
Capbal,Forfar Battery,10
Zenobe Energy,Kings Barn Farm Battery,10
SUSI Partners/Eelpower,Leverton Battery,10
Gore Street (GSF),Lower Road Battery,10
Zenobe Energy,Packington Hill Farm Battery,10
Gresham (GRID),Roundponds Battery,10
SUSI Partners/Eelpower,Stockbridge Battery,10
Foresight,Broadditch Battery,11
Zenobe Energy,Brindley Battery,12
Atlantic Green,Buxton 2 Battery,14
Gresham (GRID),Nevendon Battery,15
Atlantic Green,Buxton 1 Battery,16
Greenspan Energy,South Redhouse Battery,16
Masdar Arlington,Gipsy Lane Battery,18
Pulse Clean Energy,High Flatworth Battery,18
Conrad Energy,Swindon Battery,18
TagEnergy,Jamesfield 2 Battery,19
Conrad Energy,Winchester Battery,19
Sembcorp,Asfordby Battery,20
Zenobe Energy,Claredown Battery,20
Thrive Renewables,Feeder Road Battery,20
TagEnergy,Hawkers Hill Battery,20
Gore Street (GSF),Hulley Road Battery,20
Pulse Clean Energy,Willoughby Battery,20
Pulse Clean Energy,Hirwaun Battery,21
Conrad Energy,Torquay Battery,22
Ecotricity,Alveston Battery,24
Conrad Energy,Blackpool Battery,25
Zenobe Energy,Aylesford Battery,29
Warrington Borough Council,Boscar Grange Battery,30
TagEnergy,Jamesfield 1 Battery,30
Voltalia,Hallen Battery,32
Foresight,Wormald Green Battery,33
Harmony Energy,Contego Battery,34
Gresham (GRID),Arbroath Battery,35
KX Power,Mannington Battery,35
Voltwise Power,Barnsley (SMS) Battery,40
Gresham (GRID),Coupar Battery,40
Opium Power,Fareham 1 Battery,40
Eku Energy,Maldon Battery,40
Gresham (GRID),Bloxwich Battery,41
Pulse Clean Energy,Hyde Battery,42
Foresight,Pillswood 1 Battery,49
Gresham (GRID),Red Scar Battery,49
Foresight,Bumpers 1 Battery,49.5
Voltwise Power,Berkeley Heath Battery,50
Centrica,Brigg Battery,50
Voltwise Power,Brook Farm Battery,50
Nextenergy (NESF),Camilla Battery,50
TagEnergy,Chapel Farm Battery,50
EDF,Cowley Battery,50
EDF,Kemsley Battery,50
Foresight,Little Raith Battery,50
Huaneng,Minety (Huaneng) 1 Battery,50
Downing (Bagnall),Nursling Battery,50
TagEnergy,Pitkevy Battery,50
Centrica,Roosecote Battery,50
SSE,Salisbury Battery,50
Scottish Power,Whitelee Battery,50
Zenobe Energy,Wishaw Battery,50
EDF,Bustleholm Battery,52
EDF,Coventry Battery,52
Gore Street (GSF),Enderby (GSF) Battery,57
Adaptogen,Native River Battery,57
Constantine Energy,Ocker Hill (Pelagic) Battery,57
EDF,Tye Lane Battery,57
Gore Street (GSF),Stony Battery,80
BW-ESS/Penso,Bramley Battery,100
Harmony Energy,Clay Tye Battery,100
Statera,Dollymans Battery,100
TagEnergy,Lakeside Battery,100
Sosteneo,Richborough Battery,100
Zenobe Energy,Capenhurst (Zenobe) Battery,102
Zenobe Energy,Blackhillock Battery,200
